sa3_code,sa3_name,state,year,total_pop,pop_65_plus
10102,Queanbeyan,NSW,2019,62840.0,7815.0
10102,Queanbeyan,NSW,2020,63957.0,8186.0
10102,Queanbeyan,NSW,2021,64892.0,8500.0
10102,Queanbeyan,NSW,2022,65769.0,8723.0
10102,Queanbeyan,NSW,2023,66882.0,9020.0
10102,Queanbeyan,NSW,2024,68473.0,9399.0
10103,Snowy Mountains,NSW,2019,20273.0,3884.0
10103,Snowy Mountains,NSW,2020,20508.0,3995.0
10103,Snowy Mountains,NSW,2021,20720.0,4043.0
10103,Snowy Mountains,NSW,2022,20867.0,4201.0
10103,Snowy Mountains,NSW,2023,21165.0,4308.0
10103,Snowy Mountains,NSW,2024,21296.0,4432.0
10104,South Coast,NSW,2019,74501.0,21332.0
10104,South Coast,NSW,2020,75539.0,22319.0
10104,South Coast,NSW,2021,76437.0,23165.0
10104,South Coast,NSW,2022,76980.0,23883.0
10104,South Coast,NSW,2023,77442.0,24417.0
10104,South Coast,NSW,2024,78003.0,25219.0
10105,Goulburn - Mulwaree,NSW,2019,37725.0,7700.0
10105,Goulburn - Mulwaree,NSW,2020,38231.0,7992.0
10105,Goulburn - Mulwaree,NSW,2021,38484.0,8207.0
10105,Goulburn - Mulwaree,NSW,2022,38784.0,8378.0
10105,Goulburn - Mulwaree,NSW,2023,39134.0,8526.0
10105,Goulburn - Mulwaree,NSW,2024,39562.0,8766.0
10106,Young - Yass,NSW,2019,37562.0,7437.0
10106,Young - Yass,NSW,2020,37859.0,7694.0
10106,Young - Yass,NSW,2021,38085.0,7880.0
10106,Young - Yass,NSW,2022,38237.0,8038.0
10106,Young - Yass,NSW,2023,38446.0,8171.0
10106,Young - Yass,NSW,2024,38753.0,8351.0
10201,Gosford,NSW,2019,177962.0,38012.0
10201,Gosford,NSW,2020,179107.0,39132.0
10201,Gosford,NSW,2021,179150.0,40188.0
10201,Gosford,NSW,2022,178868.0,40874.0
10201,Gosford,NSW,2023,180280.0,41739.0
10201,Gosford,NSW,2024,181658.0,42508.0
10202,Wyong,NSW,2019,167733.0,33840.0
10202,Wyong,NSW,2020,168627.0,34715.0
10202,Wyong,NSW,2021,169343.0,35586.0
10202,Wyong,NSW,2022,170290.0,36062.0
10202,Wyong,NSW,2023,171620.0,36500.0
10202,Wyong,NSW,2024,173145.0,37172.0
10301,Bathurst,NSW,2019,48695.0,8451.0
10301,Bathurst,NSW,2020,48984.0,8856.0
10301,Bathurst,NSW,2021,49241.0,9195.0
10301,Bathurst,NSW,2022,49698.0,9392.0
10301,Bathurst,NSW,2023,50187.0,9647.0
10301,Bathurst,NSW,2024,50529.0,9921.0
10302,Lachlan Valley,NSW,2019,55717.0,12431.0
10302,Lachlan Valley,NSW,2020,55398.0,12641.0
10302,Lachlan Valley,NSW,2021,54907.0,12691.0
10302,Lachlan Valley,NSW,2022,54650.0,12804.0
10302,Lachlan Valley,NSW,2023,54427.0,12906.0
10302,Lachlan Valley,NSW,2024,54344.0,13079.0
10303,Lithgow - Mudgee,NSW,2019,48013.0,10022.0
10303,Lithgow - Mudgee,NSW,2020,48044.0,10292.0
10303,Lithgow - Mudgee,NSW,2021,47891.0,10505.0
10303,Lithgow - Mudgee,NSW,2022,47912.0,10766.0
10303,Lithgow - Mudgee,NSW,2023,47953.0,10929.0
10303,Lithgow - Mudgee,NSW,2024,48327.0,11224.0
10304,Orange,NSW,2019,60818.0,10422.0
10304,Orange,NSW,2020,61142.0,10720.0
10304,Orange,NSW,2021,61506.0,11061.0
10304,Orange,NSW,2022,61860.0,11374.0
10304,Orange,NSW,2023,62260.0,11582.0
10304,Orange,NSW,2024,62800.0,11827.0
10401,Clarence Valley,NSW,2019,52170.0,13536.0
10401,Clarence Valley,NSW,2020,52448.0,13910.0
10401,Clarence Valley,NSW,2021,53760.0,14394.0
10401,Clarence Valley,NSW,2022,54217.0,14759.0
10401,Clarence Valley,NSW,2023,54879.0,15163.0
10401,Clarence Valley,NSW,2024,55716.0,15712.0
10402,Coffs Harbour,NSW,2019,91290.0,19861.0
10402,Coffs Harbour,NSW,2020,92006.0,20593.0
10402,Coffs Harbour,NSW,2021,92436.0,21343.0
10402,Coffs Harbour,NSW,2022,93428.0,21927.0
10402,Coffs Harbour,NSW,2023,94153.0,22429.0
10402,Coffs Harbour,NSW,2024,94847.0,23082.0
10501,Bourke - Cobar - Coonamble,NSW,2019,23444.0,4163.0
10501,Bourke - Cobar - Coonamble,NSW,2020,22800.0,4180.0
10501,Bourke - Cobar - Coonamble,NSW,2021,22342.0,4197.0
10501,Bourke - Cobar - Coonamble,NSW,2022,22068.0,4266.0
10501,Bourke - Cobar - Coonamble,NSW,2023,22095.0,4357.0
10501,Bourke - Cobar - Coonamble,NSW,2024,22005.0,4452.0
10502,Broken Hill and Far West,NSW,2019,20253.0,4247.0
10502,Broken Hill and Far West,NSW,2020,20106.0,4324.0
10502,Broken Hill and Far West,NSW,2021,19992.0,4427.0
10502,Broken Hill and Far West,NSW,2022,19862.0,4481.0
10502,Broken Hill and Far West,NSW,2023,19935.0,4543.0
10502,Broken Hill and Far West,NSW,2024,19840.0,4641.0
10503,Dubbo,NSW,2019,73919.0,13389.0
10503,Dubbo,NSW,2020,74469.0,13722.0
10503,Dubbo,NSW,2021,74846.0,14017.0
10503,Dubbo,NSW,2022,75185.0,14373.0
10503,Dubbo,NSW,2023,75852.0,14627.0
10503,Dubbo,NSW,2024,76236.0,14933.0
10601,Lower Hunter,NSW,2019,94614.0,14829.0
10601,Lower Hunter,NSW,2020,96552.0,15441.0
10601,Lower Hunter,NSW,2021,98553.0,16093.0
10601,Lower Hunter,NSW,2022,100853.0,16684.0
10601,Lower Hunter,NSW,2023,102821.0,17280.0
10601,Lower Hunter,NSW,2024,105038.0,18048.0
10602,Maitland,NSW,2019,82095.0,11772.0
10602,Maitland,NSW,2020,84698.0,12409.0
10602,Maitland,NSW,2021,87389.0,13104.0
10602,Maitland,NSW,2022,90375.0,13767.0
10602,Maitland,NSW,2023,92716.0,14266.0
10602,Maitland,NSW,2024,94799.0,14808.0
10603,Port Stephens,NSW,2019,74922.0,18398.0
10603,Port Stephens,NSW,2020,75684.0,19338.0
10603,Port Stephens,NSW,2021,76403.0,20316.0
10603,Port Stephens,NSW,2022,77505.0,21123.0
10603,Port Stephens,NSW,2023,78426.0,21720.0
10603,Port Stephens,NSW,2024,79356.0,22569.0
10604,Upper Hunter,NSW,2019,30843.0,4892.0
10604,Upper Hunter,NSW,2020,30833.0,5106.0
10604,Upper Hunter,NSW,2021,30725.0,5292.0
10604,Upper Hunter,NSW,2022,30829.0,5510.0
10604,Upper Hunter,NSW,2023,31109.0,5642.0
10604,Upper Hunter,NSW,2024,31223.0,5830.0
10701,Dapto - Port Kembla,NSW,2019,79102.0,14526.0
10701,Dapto - Port Kembla,NSW,2020,79395.0,14855.0
10701,Dapto - Port Kembla,NSW,2021,79871.0,15095.0
10701,Dapto - Port Kembla,NSW,2022,80670.0,15371.0
10701,Dapto - Port Kembla,NSW,2023,81571.0,15539.0
10701,Dapto - Port Kembla,NSW,2024,82396.0,15798.0
10702,Illawarra Catchment Reserve,NSW,2019,5.0,2.0
10702,Illawarra Catchment Reserve,NSW,2020,5.0,0.0
10702,Illawarra Catchment Reserve,NSW,2021,5.0,0.0
