YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,AGE_GROUP_5,count
2024,101,Central Coast,Home care,0–49,3
2024,101,Central Coast,Home care,100+,4
2024,101,Central Coast,Home care,50–54,3
2024,101,Central Coast,Home care,55–59,6
2024,101,Central Coast,Home care,60–64,20
2024,101,Central Coast,Home care,65–69,91
2024,101,Central Coast,Home care,70–74,181
2024,101,Central Coast,Home care,75–79,335
2024,101,Central Coast,Home care,80–84,414
2024,101,Central Coast,Home care,85–89,345
2024,101,Central Coast,Home care,90–94,194
2024,101,Central Coast,Home care,95–99,40
2024,101,Central Coast,Permanent residential care,100+,23
2024,101,Central Coast,Permanent residential care,55–59,2
2024,101,Central Coast,Permanent residential care,60–64,10
2024,101,Central Coast,Permanent residential care,65–69,47
2024,101,Central Coast,Permanent residential care,70–74,114
2024,101,Central Coast,Permanent residential care,75–79,210
2024,101,Central Coast,Permanent residential care,80–84,323
2024,101,Central Coast,Permanent residential care,85–89,368
2024,101,Central Coast,Permanent residential care,90–94,309
2024,101,Central Coast,Permanent residential care,95–99,119
2024,101,Central Coast,Respite residential care,100+,23
2024,101,Central Coast,Respite residential care,50–54,1
2024,101,Central Coast,Respite residential care,60–64,11
2024,101,Central Coast,Respite residential care,65–69,70
2024,101,Central Coast,Respite residential care,70–74,167
2024,101,Central Coast,Respite residential care,75–79,289
2024,101,Central Coast,Respite residential care,80–84,453
2024,101,Central Coast,Respite residential care,85–89,497
2024,101,Central Coast,Respite residential care,90–94,368
2024,101,Central Coast,Respite residential care,95–99,148
2024,101,Central Coast,Short-term restorative care,55–59,1
2024,101,Central Coast,Short-term restorative care,60–64,3
2024,101,Central Coast,Short-term restorative care,65–69,31
2024,101,Central Coast,Short-term restorative care,70–74,49
2024,101,Central Coast,Short-term restorative care,75–79,93
2024,101,Central Coast,Short-term restorative care,80–84,98
2024,101,Central Coast,Short-term restorative care,85–89,90
2024,101,Central Coast,Short-term restorative care,90–94,26
