YEAR,ACPR_CODE_2018,ACPR_NAME_2018,STATE,CARE_TYPE,total_admissions,pct_indigenous,pct_female,pct_cald
2024,101,Central Coast,NSW,Home care,1636,0.0,0.6301955990220048,0.039119804400977995
2024,101,Central Coast,NSW,Permanent residential care,1525,0.0,0.599344262295082,0.0419672131147541
2024,101,Central Coast,NSW,Respite residential care,2027,0.0,0.5594474592994573,0.04193389245189936
2024,101,Central Coast,NSW,Short-term restorative care,398,0.0,0.635678391959799,0.15577889447236182
2024,101,Central Coast,NSW,Transition care,398,0.0,0.5954773869346733,0.02512562814070352
2024,102,Central West,NSW,Home care,2344,0.0,0.6360921501706485,0.08617747440273038
2024,102,Central West,NSW,Permanent residential care,634,0.0,0.5678233438485805,0.0914826498422713
2024,102,Central West,NSW,Respite residential care,816,0.0,0.5674019607843137,0.07230392156862746
2024,102,Central West,NSW,Short-term restorative care,90,0.0,0.5777777777777777,0.07777777777777778
2024,102,Central West,NSW,Transition care,250,0.0,0.576,0.096
2024,103,Far North Coast,NSW,Home care,1218,0.0,0.6133004926108374,0.03366174055829228
2024,103,Far North Coast,NSW,Permanent residential care,1315,0.0,0.5885931558935361,0.0349809885931559
2024,103,Far North Coast,NSW,Respite residential care,1384,0.0,0.5708092485549133,0.03468208092485549
2024,103,Far North Coast,NSW,Short-term restorative care,11,0.0,0.6363636363636364,0.0
2024,103,Far North Coast,NSW,Transition care,263,0.0,0.5931558935361216,0.026615969581749048
2024,104,Hunter,NSW,Home care,1868,0.0,0.6247323340471093,0.05246252676659529
2024,104,Hunter,NSW,Permanent residential care,2564,0.0,0.5920436817472698,0.056162246489859596
2024,104,Hunter,NSW,Respite residential care,2305,0.0,0.5843817787418655,0.06073752711496746
2024,104,Hunter,NSW,Short-term restorative care,271,0.0,0.5977859778597786,0.07380073800738007
2024,104,Hunter,NSW,Transition care,356,0.0,0.6404494382022472,0.06179775280898876
2024,105,Illawarra,NSW,Home care,1089,0.0,0.6051423324150597,0.16345270890725436
2024,105,Illawarra,NSW,Permanent residential care,1510,0.0,0.5960264900662252,0.12119205298013246
2024,105,Illawarra,NSW,Respite residential care,1294,0.0,0.5935085007727975,0.10819165378670788
2024,105,Illawarra,NSW,Short-term restorative care,64,0.0,0.6875,0.1875
2024,105,Illawarra,NSW,Transition care,328,0.0,0.5365853658536586,0.125
2024,106,Inner West,NSW,Home care,1970,0.0,0.6375634517766497,0.6426395939086295
2024,106,Inner West,NSW,Permanent residential care,1052,0.0,0.5684410646387833,0.4458174904942966
2024,106,Inner West,NSW,Respite residential care,1642,0.0,0.5694275274056029,0.43788063337393424
2024,106,Inner West,NSW,Short-term restorative care,401,0.0,0.6259351620947631,0.6309226932668329
2024,106,Inner West,NSW,Transition care,253,0.0,0.6600790513833992,0.40711462450592883
2024,107,Mid North Coast,NSW,Home care,2146,0.0,0.5852749301025163,0.06430568499534017
2024,107,Mid North Coast,NSW,Permanent residential care,1559,0.0,0.5766516998075689,0.05131494547787043
2024,107,Mid North Coast,NSW,Respite residential care,2682,0.0,0.5637583892617449,0.047725577926920205
2024,107,Mid North Coast,NSW,Short-term restorative care,262,0.0,0.5801526717557252,0.2366412213740458
2024,107,Mid North Coast,NSW,Transition care,391,0.0,0.5728900255754475,0.0792838874680307
2024,108,Nepean,NSW,Home care,738,0.0,0.6436314363143631,0.2181571815718157
2024,108,Nepean,NSW,Permanent residential care,866,0.0,0.5958429561200924,0.08775981524249422
2024,108,Nepean,NSW,Respite residential care,1026,0.0,0.5779727095516569,0.0769980506822612
2024,108,Nepean,NSW,Transition care,189,0.0,0.6137566137566137,0.08465608465608465
2024,109,New England,NSW,Home care,463,0.0,0.6479481641468683,0.02159827213822894
2024,109,New England,NSW,Permanent residential care,675,0.0,0.5822222222222222,0.045925925925925926
2024,109,New England,NSW,Respite residential care,796,0.0,0.5741206030150754,0.06658291457286432
2024,109,New England,NSW,Short-term restorative care,107,0.0,0.5420560747663551,0.018691588785046728
2024,109,New England,NSW,Transition care,348,0.0,0.5948275862068966,0.09195402298850575
2024,110,Northern Sydney,NSW,Home care,3289,0.0,0.6114320462146549,0.20948616600790515
2024,110,Northern Sydney,NSW,Permanent residential care,2710,0.0,0.5837638376383764,0.12656826568265683
2024,110,Northern Sydney,NSW,Respite residential care,4443,0.0,0.5728111636281792,0.11681296421336934
2024,110,Northern Sydney,NSW,Short-term restorative care,171,0.0,0.5672514619883041,0.07602339181286549
2024,110,Northern Sydney,NSW,Transition care,320,0.0,0.6,0.053125
2024,111,Orana Far West,NSW,Home care,399,0.0,0.606516290726817,0.07769423558897243
2024,111,Orana Far West,NSW,Permanent residential care,471,0.0,0.6220806794055201,0.025477707006369428
2024,111,Orana Far West,NSW,Respite residential care,735,0.0,0.5836734693877551,0.036734693877551024
2024,111,Orana Far West,NSW,Short-term restorative care,37,0.0,0.6486486486486487,0.05405405405405406
2024,111,Orana Far West,NSW,Transition care,8,0.0,0.75,0.0
2024,112,Riverina/Murray,NSW,Home care,2351,0.0,0.6312207571246278,0.07443641003828158
2024,112,Riverina/Murray,NSW,Permanent residential care,1016,0.0,0.5895669291338582,0.05708661417322835
2024,112,Riverina/Murray,NSW,Respite residential care,1490,0.0,0.5892617449664429,0.056375838926174496
2024,112,Riverina/Murray,NSW,Short-term restorative care,25,0.0,0.72,0.0
2024,112,Riverina/Murray,NSW,Transition care,444,0.0,0.5900900900900901,0.038288288288288286
2024,113,South East Sydney,NSW,Home care,4988,0.0,0.6251002405773858,0.21150761828388132
2024,113,South East Sydney,NSW,Permanent residential care,2690,0.0,0.5817843866171004,0.23531598513011154
2024,113,South East Sydney,NSW,Respite residential care,4653,0.0,0.5716741886954653,0.24822695035460993
2024,113,South East Sydney,NSW,Short-term restorative care,145,0.0,0.5724137931034483,0.2
2024,113,South East Sydney,NSW,Transition care,603,0.0,0.5091210613598673,0.23217247097844113
2024,114,South West Sydney,NSW,Home care,2463,0.0,0.606171335769387,0.42752740560292324
2024,114,South West Sydney,NSW,Permanent residential care,2489,0.0,0.5717155484130173,0.3222177581357975
2024,114,South West Sydney,NSW,Respite residential care,3842,0.0,0.5856324830817282,0.3472149921915669
2024,114,South West Sydney,NSW,Short-term restorative care,136,0.0,0.6176470588235294,0.4485294117647059
2024,114,South West Sydney,NSW,Transition care,356,0.0,0.5337078651685393,0.3061797752808989
2024,115,Southern Highlands,NSW,Home care,540,0.0,0.6277777777777778,0.04259259259259259
2024,115,Southern Highlands,NSW,Permanent residential care,816,0.0,0.5759803921568627,0.07598039215686274
2024,115,Southern Highlands,NSW,Respite residential care,1200,0.0,0.6,0.07916666666666666
2024,115,Southern Highlands,NSW,Short-term restorative care,2,0.0,1.0,0.0
2024,115,Southern Highlands,NSW,Transition care,211,0.0,0.5213270142180095,0.17535545023696683
