acpr_code,acpr_name,state,year,total_users,n_male,n_female,n_indigenous,n_nesb,n_english_speaking,hcp_l1,hcp_l2,hcp_l3,hcp_l4,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
101,Central Coast,NSW,2024,5142,1695,3446,221,527,558,373,2332,1668,769,5,11,22,56,196,538,919,1195,1208,762,209,21
102,Central West,NSW,2024,5572,1810,3762,841,633,294,569,2825,1664,514,0,38,74,130,301,645,1047,1191,1261,704,166,15
103,Far North Coast,NSW,2024,3578,1225,2353,129,211,377,293,1735,1054,496,0,4,9,24,133,360,620,832,928,524,126,18
104,Hunter,NSW,2024,6360,2058,4302,316,537,475,651,2751,1749,1209,3,9,39,56,237,621,1157,1505,1512,935,257,29
105,Illawarra,NSW,2024,4080,1315,2764,194,943,426,269,1708,1412,691,2,2,15,28,150,396,706,888,1062,607,201,23
106,Inner West,NSW,2024,6155,2011,4142,24,5010,136,367,2791,2078,919,0,0,4,8,194,564,1078,1467,1633,952,217,38
107,Mid North Coast,NSW,2024,5948,2175,3771,389,334,499,465,2414,2025,1044,0,11,42,89,260,648,1081,1362,1408,807,215,25
108,Nepean,NSW,2024,1960,629,1331,41,574,216,112,899,667,282,0,2,10,10,65,258,384,498,422,241,62,8
109,New England,NSW,2024,1266,428,838,149,42,60,101,624,385,156,0,3,13,23,78,156,228,285,294,136,46,4
110,Northern Sydney,NSW,2024,8560,2939,5620,82,3292,838,593,3669,2737,1561,1,4,9,19,288,860,1465,1978,2144,1335,404,53
111,Orana Far West,NSW,2024,4249,1310,2939,233,597,260,410,2132,1254,453,0,4,19,35,144,442,756,971,1041,644,170,23
112,Riverina/Murray,NSW,2024,4767,1625,3141,153,466,283,478,2386,1344,559,1,5,16,41,211,531,923,1140,1130,598,157,14
113,South East Sydney,NSW,2024,11978,4188,7789,307,4741,1158,653,4929,3979,2417,1,11,39,57,497,1399,2136,2691,2899,1690,486,72
114,South West Sydney,NSW,2024,6404,2219,4185,133,3908,343,507,2785,2189,923,1,6,11,29,360,852,1244,1474,1331,841,224,31
115,Southern Highlands,NSW,2024,1875,626,1247,140,170,176,101,941,586,247,1,6,19,34,76,186,341,456,428,228,90,10
116,Western Sydney,NSW,2024,13380,4549,8830,229,7903,745,1063,5882,4334,2101,2,9,36,38,596,1894,2776,3089,2834,1584,458,64
201,Barwon-South Western,VIC,2024,4738,1590,3148,77,703,417,95,1948,1496,1199,0,2,6,20,179,503,841,1220,1145,655,159,8
202,Eastern Metro,VIC,2024,21774,7449,14321,200,11590,1488,1446,9467,6290,4571,2,14,26,34,701,2481,4140,5245,5505,2834,699,93
203,Gippsland,VIC,2024,4750,1662,3087,123,540,548,345,2015,1456,934,0,9,20,43,206,639,994,1158,1077,475,122,7
204,Grampians,VIC,2024,1619,597,1022,37,170,119,50,810,463,296,0,1,2,8,70,195,302,392,351,234,54,10
205,Hume,VIC,2024,3776,1316,2460,324,761,256,305,1955,954,562,0,8,48,58,177,463,765,872,820,437,119,9
206,Loddon-Mallee,VIC,2024,2633,936,1697,54,303,161,144,1235,749,505,1,1,7,15,104,288,543,639,626,317,85,7
207,Northern Metro,VIC,2024,8533,2763,5770,71,5757,309,316,3428,2768,2021,3,5,11,14,332,1045,1633,2135,2003,1093,229,30
208,Southern Metro,VIC,2024,15393,5176,10215,99,6478,1568,569,6335,4805,3684,0,2,13,31,446,1532,2807,3612,3909,2324,635,82
209,Western Metro,VIC,2024,7592,2574,5017,111,5089,318,172,3069,2593,1758,4,5,20,41,300,1060,1480,1840,1635,904,273,30
301,Brisbane North,QLD,2024,13674,4878,8795,298,3821,1416,686,5172,4554,3262,3,18,39,69,679,1916,2737,3077,2860,1715,489,72
302,Brisbane South,QLD,2024,11799,4110,7688,279,3253,1355,515,4525,4152,2607,2,25,31,56,562,1550,2303,2815,2583,1425,393,54
