acpr_code,acpr_name,state,year,n_first_admission,n_repeat_admission,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus,hcp_l1,hcp_l2,hcp_l3,hcp_l4
101,Central Coast,NSW,2023,1911,588,49,992,1507,220,320,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
102,Central West,NSW,2023,3463,219,380,1339,2343,453,240,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
103,Far North Coast,NSW,2023,1278,245,33,596,927,101,157,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
104,Hunter,NSW,2023,1965,673,107,1011,1627,206,228,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
105,Illawarra,NSW,2023,1310,200,34,601,909,342,204,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
106,Inner West,NSW,2023,1946,396,9,908,1434,1833,67,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
107,Mid North Coast,NSW,2023,1686,547,99,888,1344,116,209,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
108,Nepean,NSW,2023,612,100,15,258,454,186,75,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
109,New England,NSW,2023,452,81,33,210,323,25,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
110,Northern Sydney,NSW,2023,2671,537,26,1238,1970,1292,323,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
111,Orana Far West,NSW,2023,1034,122,54,412,744,118,74,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
112,Riverina/Murray,NSW,2023,1197,291,53,582,905,108,94,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
113,South East Sydney,NSW,2023,4039,1417,108,2139,3316,1935,574,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
114,South West Sydney,NSW,2023,2283,552,38,1075,1760,1628,169,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
115,Southern Highlands,NSW,2023,582,94,26,260,416,71,66,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
116,Western Sydney,NSW,2023,4690,1121,129,2278,3533,3128,389,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
201,Barwon-South Western,Vic,2023,1646,416,29,775,1287,330,196,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
202,Eastern Metro,Vic,2023,4975,1654,47,2414,4213,3317,472,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
203,Gippsland,Vic,2023,1374,192,30,598,968,162,191,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,Grampians,Vic,2023,597,63,15,283,377,62,60,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
205,Hume,Vic,2023,1072,191,38,504,759,224,110,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
206,Loddon-Mallee,Vic,2023,958,120,14,414,664,119,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,Northern Metro,Vic,2023,2694,416,18,1121,1989,2079,123,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
208,Southern Metro,Vic,2023,5410,856,32,2351,3915,2394,655,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
209,Western Metro,Vic,2023,2033,532,47,970,1595,1687,113,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
301,Brisbane North,Qld,2023,7242,2921,140,3900,6263,2856,1200,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
302,Brisbane South,Qld,2023,3174,663,76,1521,2316,1024,482,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
303,Cabool,Qld,2023,1745,1123,132,1126,1741,490,408,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
304,Central West,Qld,2023,17,1,1,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Darling Downs,Qld,2023,1004,349,38,511,842,76,97,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
306,Far North,Qld,2023,933,105,76,436,602,114,131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
307,Fitzroy,Qld,2023,677,122,39,332,467,35,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Logan River Valley,Qld,2023,653,128,23,269,511,164,112,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
309,Mackay,Qld,2023,256,23,7,106,173,20,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
310,North West,Qld,2023,24,2,16,13,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Northern,Qld,2023,1421,614,103,804,1231,172,194,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
312,South Coast,Qld,2023,1335,312,44,671,976,206,268,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
313,South West,Qld,2023,85,81,25,65,101,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
314,Sunshine Coast,Qld,2023,3220,446,54,1468,2197,312,559,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
315,West Moreton,Qld,2023,573,108,30,266,415,65,91,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
316,Wide Bay,Qld,2023,1281,204,47,568,917,134,154,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
401,Eyre Peninsula,SA,2023,793,348,9,424,717,513,89,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
402,"Hills, Mallee & Southern",SA,2023,523,24,6,224,323,97,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
403,Metropolitan East,SA,2023,3399,358,40,1444,2313,1014,553,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
404,Metropolitan North,SA,2023,909,91,15,378,622,246,191,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
405,Metropolitan South,SA,2023,1646,115,10,699,1062,280,309,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
