YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,INDIGENOUS_STATUS,count
2024,101,Central Coast,Home care,Indigenous,55
2024,101,Central Coast,Home care,Non-Indigenous,1380
2024,101,Central Coast,Home care,Unknown,201
2024,101,Central Coast,Permanent residential care,Indigenous,26
2024,101,Central Coast,Permanent residential care,Non-Indigenous,1307
2024,101,Central Coast,Permanent residential care,Unknown,192
2024,101,Central Coast,Respite residential care,Indigenous,45
2024,101,Central Coast,Respite residential care,Non-Indigenous,1699
2024,101,Central Coast,Respite residential care,Unknown,283
2024,101,Central Coast,Short-term restorative care,Indigenous,8
2024,101,Central Coast,Short-term restorative care,Non-Indigenous,303
2024,101,Central Coast,Short-term restorative care,Unknown,87
2024,101,Central Coast,Transition care,Indigenous,6
2024,101,Central Coast,Transition care,Non-Indigenous,302
2024,101,Central Coast,Transition care,Unknown,90
2024,102,Central West,Home care,Indigenous,340
2024,102,Central West,Home care,Non-Indigenous,1862
2024,102,Central West,Home care,Unknown,142
2024,102,Central West,Permanent residential care,Indigenous,12
2024,102,Central West,Permanent residential care,Non-Indigenous,504
2024,102,Central West,Permanent residential care,Unknown,118
2024,102,Central West,Respite residential care,Indigenous,23
2024,102,Central West,Respite residential care,Non-Indigenous,641
2024,102,Central West,Respite residential care,Unknown,152
2024,102,Central West,Short-term restorative care,Indigenous,6
2024,102,Central West,Short-term restorative care,Non-Indigenous,69
2024,102,Central West,Short-term restorative care,Unknown,15
2024,102,Central West,Transition care,Indigenous,13
2024,102,Central West,Transition care,Non-Indigenous,180
2024,102,Central West,Transition care,Unknown,57
2024,103,Far North Coast,Home care,Indigenous,58
2024,103,Far North Coast,Home care,Non-Indigenous,1023
2024,103,Far North Coast,Home care,Unknown,137
2024,103,Far North Coast,Permanent residential care,Indigenous,12
2024,103,Far North Coast,Permanent residential care,Non-Indigenous,1140
2024,103,Far North Coast,Permanent residential care,Unknown,163
2024,103,Far North Coast,Respite residential care,Indigenous,11
2024,103,Far North Coast,Respite residential care,Non-Indigenous,1224
2024,103,Far North Coast,Respite residential care,Unknown,149
2024,103,Far North Coast,Short-term restorative care,Non-Indigenous,9
2024,103,Far North Coast,Short-term restorative care,Unknown,2
2024,103,Far North Coast,Transition care,Indigenous,2
2024,103,Far North Coast,Transition care,Non-Indigenous,196
2024,103,Far North Coast,Transition care,Unknown,65
2024,104,Hunter,Home care,Indigenous,75
2024,104,Hunter,Home care,Non-Indigenous,1582
2024,104,Hunter,Home care,Unknown,211
2024,104,Hunter,Permanent residential care,Indigenous,37
2024,104,Hunter,Permanent residential care,Non-Indigenous,2115
2024,104,Hunter,Permanent residential care,Unknown,412
