sa3_code,sa3_name,state,year,mmm_code,pop_65_plus,total_pop,n_facilities,n_residential,residential_places,n_nfp,n_government,n_private,total_residential,total_homecare,total_users,hcp_level1,hcp_level2,hcp_level3,hcp_level4,hcp_high_needs,quality_score,access_rate,care_gap_index,waitlist_pressure,beds_per_1k,private_share,supply_change
10102,Queanbeyan,NSW,2023,MM1,9020.0,66882.0,6,4,364.0,4,1,1,261.0,441,702.0,12,189,151,89,240,3.4444444444444446,2.893569844789357,0.8400686646162648,0.6593406593406593,40.354767184035474,0.16666666666666666,1.0
10103,Snowy Mountains,NSW,2023,MM4,4308.0,21165.0,7,5,146.0,1,6,0,93.0,129,222.0,4,58,39,28,67,3.825,2.1587743732590527,0.5643854570611903,0.4589041095890411,33.89043639740019,0.0,-1.0
10104,South Coast,NSW,2023,MM5,24417.0,77442.0,26,14,1060.0,23,1,2,872.0,1724,2596.0,67,917,510,230,740,3.5518018018018016,3.5712823033132652,1.0054846814654976,0.6981132075471698,43.41237662284474,0.07692307692307693,-1.0
10105,Goulburn - Mulwaree,NSW,2023,MM3,8526.0,39134.0,12,6,409.0,12,0,0,369.0,629,998.0,19,291,235,84,319,3.55,4.327938071780436,1.2191374850085737,0.7799511002444988,47.97091250293221,0.0,0.0
10106,Young - Yass,NSW,2023,MM4,8171.0,38446.0,13,8,397.0,7,2,4,312.0,395,707.0,21,188,123,63,186,3.3385416666666665,3.81838208297638,1.1437275505951092,0.46851385390428213,48.58646432505201,0.3076923076923077,0.0
10201,Gosford,NSW,2023,MM1,41739.0,180280.0,38,16,1954.0,15,1,22,1642.0,2373,4015.0,135,1071,833,334,1167,3.1759259259259256,3.9339706269915427,1.2386846289069582,0.5972364380757421,46.81472962936342,0.5789473684210527,-3.0
10202,Wyong,NSW,2023,MM1,36500.0,171620.0,40,21,1971.0,25,0,15,1745.0,2612,4357.0,173,1159,920,360,1280,3.1,4.780821917808219,1.5422006186478125,0.6494165398274987,54.0,0.375,0.0
10301,Bathurst,NSW,2023,MM3,9647.0,50187.0,15,7,584.0,11,1,3,516.0,369,885.0,10,165,112,82,194,3.4027777777777777,5.348813102518918,1.571896095434131,0.3321917808219178,60.53695449362496,0.2,0.0
10302,Lachlan Valley,NSW,2023,MM4,12906.0,54427.0,28,19,810.0,16,8,4,584.0,558,1142.0,37,230,205,86,291,3.2916666666666665,4.525027119169379,1.3746917830387988,0.3592592592592593,62.76150627615063,0.14285714285714285,-1.0
10303,Lithgow - Mudgee,NSW,2023,MM4,10929.0,47953.0,14,11,485.0,8,4,2,375.0,480,855.0,39,201,168,72,240,3.659722222222222,3.4312379906670327,0.9375678760076902,0.4948453608247423,44.37734467929362,0.14285714285714285,0.0
