sa3_code,sa3_name,year,residential_users,home_care_users,total_users
10102,Queanbeyan,2023,261,441,702
10102,Queanbeyan,2024,262,497,759
10102,Queanbeyan,2025,271,498,769
10103,Snowy Mountains,2023,93,129,222
10103,Snowy Mountains,2024,77,156,233
10103,Snowy Mountains,2025,74,187,261
10104,South Coast,2023,872,1724,2596
10104,South Coast,2024,909,1826,2735
10104,South Coast,2025,914,1957,2871
10105,Goulburn - Mulwaree,2023,369,629,998
10105,Goulburn - Mulwaree,2024,393,661,1054
10105,Goulburn - Mulwaree,2025,390,707,1097
10106,Young - Yass,2023,312,395,707
10106,Young - Yass,2024,341,411,752
10106,Young - Yass,2025,338,414,752
10201,Gosford,2023,1642,2373,4015
10201,Gosford,2024,1715,2594,4309
10201,Gosford,2025,1770,2745,4515
10202,Wyong,2023,1745,2612,4357
10202,Wyong,2024,1762,2861,4623
10202,Wyong,2025,1778,2946,4724
10301,Bathurst,2023,516,369,885
10301,Bathurst,2024,522,411,933
10301,Bathurst,2025,548,458,1006
10302,Lachlan Valley,2023,584,558,1142
10302,Lachlan Valley,2024,564,601,1165
10302,Lachlan Valley,2025,536,691,1227
10303,Lithgow - Mudgee,2023,375,480,855
10303,Lithgow - Mudgee,2024,355,496,851
10303,Lithgow - Mudgee,2025,361,504,865
10304,Orange,2023,600,447,1047
10304,Orange,2024,605,561,1166
10304,Orange,2025,607,611,1218
10401,Clarence Valley,2023,592,1123,1715
10401,Clarence Valley,2024,607,1235,1842
10401,Clarence Valley,2025,624,1272,1896
10402,Coffs Harbour,2023,810,1306,2116
10402,Coffs Harbour,2024,869,1466,2335
10402,Coffs Harbour,2025,881,1515,2396
10501,Bourke - Cobar - Coonamble,2023,72,225,297
10501,Bourke - Cobar - Coonamble,2024,73,268,341
10501,Bourke - Cobar - Coonamble,2025,79,317,396
10502,Broken Hill and Far West,2023,188,198,386
10502,Broken Hill and Far West,2024,167,187,354
10502,Broken Hill and Far West,2025,180,169,349
10503,Dubbo,2023,753,1079,1832
10503,Dubbo,2024,730,1175,1905
10503,Dubbo,2025,752,1281,2033
10601,Lower Hunter,2023,683,747,1430
10601,Lower Hunter,2024,683,769,1452
10601,Lower Hunter,2025,651,830,1481
10602,Maitland,2023,437,788,1225
10602,Maitland,2024,555,795,1350
10602,Maitland,2025,652,868,1520
10603,Port Stephens,2023,594,1305,1899
10603,Port Stephens,2024,595,1363,1958
10603,Port Stephens,2025,602,1456,2058
10604,Upper Hunter,2023,209,259,468
10604,Upper Hunter,2024,208,277,485
10604,Upper Hunter,2025,212,281,493
10701,Dapto - Port Kembla,2023,793,924,1717
10701,Dapto - Port Kembla,2024,800,939,1739
10701,Dapto - Port Kembla,2025,808,953,1761
10703,Kiama - Shellharbour,2023,765,993,1758
10703,Kiama - Shellharbour,2024,787,990,1777
10703,Kiama - Shellharbour,2025,782,1038,1820
10704,Wollongong,2023,1134,1265,2399
10704,Wollongong,2024,1023,1281,2304
10704,Wollongong,2025,1013,1255,2268
10801,Great Lakes,2023,497,1173,1670
10801,Great Lakes,2024,516,1265,1781
10801,Great Lakes,2025,560,1316,1876
10802,Kempsey - Nambucca,2023,691,1076,1767
10802,Kempsey - Nambucca,2024,686,1173,1859
10802,Kempsey - Nambucca,2025,699,1181,1880
10803,Lord Howe Island,2023,0,8,8
10803,Lord Howe Island,2024,0,7,7
10803,Lord Howe Island,2025,0,12,12
10804,Port Macquarie,2023,1045,2060,3105
10804,Port Macquarie,2024,1116,2259,3375
10804,Port Macquarie,2025,1234,2288,3522
10805,Taree - Gloucester,2023,601,1894,2495
10805,Taree - Gloucester,2024,600,1999,2599
10805,Taree - Gloucester,2025,612,2121,2733
10901,Albury,2023,657,933,1590
10901,Albury,2024,664,965,1629
10901,Albury,2025,691,904,1595
10902,Lower Murray,2023,93,186,279
10902,Lower Murray,2024,96,185,281
10902,Lower Murray,2025,100,163,263
10903,Upper Murray exc. Albury,2023,468,751,1219
10903,Upper Murray exc. Albury,2024,444,732,1176
10903,Upper Murray exc. Albury,2025,434,670,1104
11001,Armidale,2023,267,336,603
11001,Armidale,2024,293,339,632
11001,Armidale,2025,295,351,646
11002,Inverell - Tenterfield,2023,366,403,769
11002,Inverell - Tenterfield,2024,365,420,785
11002,Inverell - Tenterfield,2025,388,457,845
11003,Moree - Narrabri,2023,160,197,357
11003,Moree - Narrabri,2024,152,209,361
11003,Moree - Narrabri,2025,156,199,355
11004,Tamworth - Gunnedah,2023,608,678,1286
11004,Tamworth - Gunnedah,2024,677,694,1371
11004,Tamworth - Gunnedah,2025,757,739,1496
11101,Lake Macquarie - East,2023,928,1743,2671
11101,Lake Macquarie - East,2024,1013,1715,2728
11101,Lake Macquarie - East,2025,1092,1695,2787
11102,Lake Macquarie - West,2023,1108,1214,2322
11102,Lake Macquarie - West,2024,1133,1148,2281
11102,Lake Macquarie - West,2025,1115,1147,2262
11103,Newcastle,2023,1964,2115,4079
11103,Newcastle,2024,1960,2056,4016
11103,Newcastle,2025,1991,2022,4013
11201,Richmond Valley - Coastal,2023,789,1457,2246
11201,Richmond Valley - Coastal,2024,841,1569,2410
11201,Richmond Valley - Coastal,2025,872,1678,2550
11202,Richmond Valley - Hinterland,2023,565,1286,1851
11202,Richmond Valley - Hinterland,2024,574,1340,1914
11202,Richmond Valley - Hinterland,2025,597,1396,1993
11203,Tweed Valley,2023,1129,2185,3314
11203,Tweed Valley,2024,1190,2268,3458
11203,Tweed Valley,2025,1245,2382,3627
11301,Griffith - Murrumbidgee (West),2023,488,706,1194
11301,Griffith - Murrumbidgee (West),2024,503,639,1142
11301,Griffith - Murrumbidgee (West),2025,499,635,1134
11302,Tumut - Tumbarumba,2023,98,206,304
11302,Tumut - Tumbarumba,2024,102,198,300
11302,Tumut - Tumbarumba,2025,95,206,301
11303,Wagga Wagga,2023,838,1621,2459
11303,Wagga Wagga,2024,865,1597,2462
11303,Wagga Wagga,2025,915,1499,2414
11401,Shoalhaven,2023,1140,1449,2589
11401,Shoalhaven,2024,1165,1514,2679
11401,Shoalhaven,2025,1180,1560,2740
11402,Southern Highlands,2023,583,369,952
11402,Southern Highlands,2024,607,350,957
11402,Southern Highlands,2025,626,318,944
11501,Baulkham Hills,2023,1738,1116,2854
11501,Baulkham Hills,2024,1766,1224,2990
11501,Baulkham Hills,2025,1818,1241,3059
11502,Dural - Wisemans Ferry,2023,331,217,548
11502,Dural - Wisemans Ferry,2024,342,227,569
11502,Dural - Wisemans Ferry,2025,358,227,585
11503,Hawkesbury,2023,33,107,140
11503,Hawkesbury,2024,34,107,141
11503,Hawkesbury,2025,34,117,151
11504,Rouse Hill - McGraths Hill,2023,104,168,272
11504,Rouse Hill - McGraths Hill,2024,112,186,298
11504,Rouse Hill - McGraths Hill,2025,113,211,324
11601,Blacktown,2023,757,1290,2047
11601,Blacktown,2024,780,1361,2141
11601,Blacktown,2025,794,1372,2166
11602,Blacktown - North,2023,227,539,766
11602,Blacktown - North,2024,312,594,906
11602,Blacktown - North,2025,373,627,1000
