year,SA3_CODE_2021,SA3_NAME_2021,state,n_sa2s,total_pop,pop_65_plus,pct_65_plus
2023,10102,Queanbeyan,New South Wales,7,66882,9020,13.49
2024,10102,Queanbeyan,New South Wales,7,68473,9399,13.73
2025,10102,Queanbeyan,New South Wales,7,68473,9399,13.73
2023,10103,Snowy Mountains,New South Wales,4,21165,4308,20.35
2024,10103,Snowy Mountains,New South Wales,4,21296,4432,20.81
2025,10103,Snowy Mountains,New South Wales,4,21296,4432,20.81
2023,10104,South Coast,New South Wales,11,77442,24417,31.53
2024,10104,South Coast,New South Wales,11,78003,25219,32.33
2025,10104,South Coast,New South Wales,11,78003,25219,32.33
2023,10105,Goulburn - Mulwaree,New South Wales,2,39134,8526,21.79
2024,10105,Goulburn - Mulwaree,New South Wales,2,39562,8766,22.16
2025,10105,Goulburn - Mulwaree,New South Wales,2,39562,8766,22.16
2023,10106,Young - Yass,New South Wales,4,38446,8171,21.25
2024,10106,Young - Yass,New South Wales,4,38753,8351,21.55
2025,10106,Young - Yass,New South Wales,4,38753,8351,21.55
2023,10201,Gosford,New South Wales,16,180280,41739,23.15
2024,10201,Gosford,New South Wales,16,181658,42508,23.4
2025,10201,Gosford,New South Wales,16,181658,42508,23.4
2023,10202,Wyong,New South Wales,14,171620,36500,21.27
2024,10202,Wyong,New South Wales,14,173145,37172,21.47
2025,10202,Wyong,New South Wales,14,173145,37172,21.47
2023,10301,Bathurst,New South Wales,5,50187,9647,19.22
2024,10301,Bathurst,New South Wales,5,50529,9921,19.63
2025,10301,Bathurst,New South Wales,5,50529,9921,19.63
2023,10302,Lachlan Valley,New South Wales,8,54427,12906,23.71
2024,10302,Lachlan Valley,New South Wales,8,54344,13079,24.07
2025,10302,Lachlan Valley,New South Wales,8,54344,13079,24.07
2023,10303,Lithgow - Mudgee,New South Wales,6,47953,10929,22.79
2024,10303,Lithgow - Mudgee,New South Wales,6,48327,11224,23.23
2025,10303,Lithgow - Mudgee,New South Wales,6,48327,11224,23.23
2023,10304,Orange,New South Wales,4,62260,11582,18.6
2024,10304,Orange,New South Wales,4,62800,11827,18.83
2025,10304,Orange,New South Wales,4,62800,11827,18.83
2023,10401,Clarence Valley,New South Wales,3,54879,15163,27.63
2024,10401,Clarence Valley,New South Wales,3,55716,15712,28.2
2025,10401,Clarence Valley,New South Wales,3,55716,15712,28.2
2023,10402,Coffs Harbour,New South Wales,9,94153,22429,23.82
2024,10402,Coffs Harbour,New South Wales,9,94847,23082,24.34
2025,10402,Coffs Harbour,New South Wales,9,94847,23082,24.34
2023,10501,Bourke - Cobar - Coonamble,New South Wales,5,22095,4357,19.72
2024,10501,Bourke - Cobar - Coonamble,New South Wales,5,22005,4452,20.23
2025,10501,Bourke - Cobar - Coonamble,New South Wales,5,22005,4452,20.23
2023,10502,Broken Hill and Far West,New South Wales,2,19935,4543,22.79
2024,10502,Broken Hill and Far West,New South Wales,2,19840,4641,23.39
2025,10502,Broken Hill and Far West,New South Wales,2,19840,4641,23.39
2023,10503,Dubbo,New South Wales,8,75852,14627,19.28
2024,10503,Dubbo,New South Wales,8,76236,14933,19.59
2025,10503,Dubbo,New South Wales,8,76236,14933,19.59
2023,10601,Lower Hunter,New South Wales,7,102821,17280,16.81
2024,10601,Lower Hunter,New South Wales,7,105038,18048,17.18
2025,10601,Lower Hunter,New South Wales,7,105038,18048,17.18
2023,10602,Maitland,New South Wales,7,92716,14266,15.39
2024,10602,Maitland,New South Wales,7,94799,14808,15.62
2025,10602,Maitland,New South Wales,7,94799,14808,15.62
