acpr_code,acpr_name,state,year,n_first_admission,n_repeat_admission,n_permanent,n_respite,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
101,Central Coast,NSW,2023,2763,840,1573,2030,46,1486,2117,368,439,0,0,0,0,0,0,0,0,0,0,0,52
102,Central West,NSW,2023,1163,295,693,765,43,613,845,68,98,0,0,0,0,0,0,0,0,0,0,0,9
103,Far North Coast,NSW,2023,1870,566,1204,1232,27,1058,1378,152,253,0,0,0,0,0,0,0,0,0,0,0,48
104,Hunter,NSW,2023,3828,959,2540,2247,76,1913,2872,336,416,0,0,0,0,0,0,0,0,0,0,0,41
105,Illawarra,NSW,2023,2310,695,1722,1283,47,1219,1786,473,379,0,0,0,0,0,0,0,0,0,0,0,23
106,Inner West,NSW,2023,2315,737,1246,1806,14,1298,1752,1665,180,0,0,0,0,0,0,0,0,0,0,0,38
107,Mid North Coast,NSW,2023,2894,1097,1563,2428,78,1644,2346,225,379,0,0,0,0,0,0,0,0,0,0,0,49
108,Nepean,NSW,2023,1526,371,972,925,21,799,1098,285,231,0,0,0,0,0,0,0,0,0,0,0,17
109,New England,NSW,2023,891,225,569,547,27,479,637,36,60,0,0,0,0,0,0,0,0,0,0,0,14
110,Northern Sydney,NSW,2023,5511,2219,3302,4428,23,3109,4620,1814,931,0,0,0,0,0,0,0,0,0,0,0,145
111,Orana Far West,NSW,2023,872,345,443,774,72,495,722,40,55,0,0,0,0,0,0,0,0,0,0,0,11
112,Riverina/Murray,NSW,2023,2025,613,1145,1493,39,1117,1518,173,139,0,0,0,0,0,0,0,0,0,0,0,23
113,South East Sydney,NSW,2023,5672,2014,2992,4694,60,3211,4474,2475,735,0,0,0,0,0,0,0,0,0,0,0,106
114,South West Sydney,NSW,2023,4617,1521,2594,3544,58,2634,3504,2688,464,0,0,0,0,0,0,0,0,0,0,0,58
115,Southern Highlands,NSW,2023,1454,489,787,1156,21,854,1089,207,197,0,0,0,0,0,0,0,0,0,0,0,26
116,Western Sydney,NSW,2023,3798,1504,2090,3212,55,2230,3072,2238,397,0,0,0,0,0,0,0,0,0,0,0,69
201,Barwon-South Western,Vic,2023,2883,1348,1734,2497,23,1747,2484,527,381,0,0,0,0,0,0,0,0,0,0,0,41
202,Eastern Metro,Vic,2023,7051,2897,4122,5826,17,3998,5950,3003,964,0,0,0,0,0,0,0,0,0,0,0,145
203,Gippsland,Vic,2023,2243,1057,1251,2049,29,1394,1906,341,390,0,0,0,0,0,0,0,0,0,0,0,25
204,Grampians,Vic,2023,1479,622,1002,1099,9,905,1196,175,168,0,0,0,0,0,0,0,0,0,0,0,31
205,Hume,Vic,2023,1853,966,1155,1664,18,1218,1601,263,177,0,0,0,0,0,0,0,0,0,0,0,32
206,Loddon-Mallee,Vic,2023,2321,826,1448,1699,20,1238,1907,221,177,0,0,0,0,0,0,0,0,0,0,0,23
207,Northern Metro,Vic,2023,4246,1795,2426,3615,18,2410,3629,2841,388,0,0,0,0,0,0,0,0,0,0,0,64
208,Southern Metro,Vic,2023,7848,2973,4859,5962,21,4279,6542,2873,1371,0,0,0,0,0,0,0,0,0,0,0,155
