acpr_code,acpr_name,state,year,total_users,n_permanent,n_respite,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
101,Central Coast,NSW,2024,3477,3304,173,50,1215,2262,305,444,0,1,8,20,90,231,437,690,858,723,350,69
102,Central West,NSW,2024,1770,1701,69,54,646,1124,90,95,1,3,15,19,68,129,229,362,447,328,150,19
103,Far North Coast,NSW,2024,3212,3098,114,36,1153,2058,171,341,1,5,8,15,82,198,374,577,818,693,380,61
104,Hunter,NSW,2024,5985,5808,177,84,1994,3990,445,469,4,3,10,30,143,387,799,1086,1513,1339,571,100
105,Illawarra,NSW,2024,3775,3675,100,49,1285,2490,641,471,0,1,5,17,90,249,454,722,952,848,375,62
106,Inner West,NSW,2024,3641,3465,176,22,1374,2266,1940,208,0,7,6,19,114,264,473,596,916,785,392,69
107,Mid North Coast,NSW,2024,3949,3682,267,89,1418,2530,237,390,2,4,15,38,111,264,490,698,961,880,415,71
108,Nepean,NSW,2024,2330,2250,80,32,803,1527,380,291,0,1,3,6,63,212,351,458,550,449,196,41
109,New England,NSW,2024,1487,1418,69,49,535,951,52,70,0,2,5,6,43,107,185,261,417,309,129,23
110,Northern Sydney,NSW,2024,7938,7514,424,15,2610,5325,1917,933,0,1,9,11,125,373,813,1331,1999,1997,1057,222
111,Orana Far West,NSW,2024,1264,1185,79,53,424,840,42,50,0,1,2,9,42,89,160,261,327,248,111,14
112,Riverina/Murray,NSW,2024,2656,2512,144,37,921,1734,191,140,0,1,2,13,81,181,309,470,714,572,275,38
113,South East Sydney,NSW,2024,7814,7364,450,56,2825,4989,2429,708,2,5,13,36,192,502,904,1364,1938,1778,910,170
114,South West Sydney,NSW,2024,6918,6514,404,61,2480,4437,2953,506,1,3,7,35,205,544,918,1395,1737,1386,579,107
115,Southern Highlands,NSW,2024,1982,1909,73,29,697,1285,200,165,2,1,6,15,55,136,237,374,487,438,201,30
116,Western Sydney,NSW,2024,5705,5386,319,58,2005,3699,2319,447,3,7,7,33,153,404,781,1104,1419,1173,525,96
201,Barwon-South Western,VIC,2024,4545,4294,251,16,1536,3008,555,407,0,2,9,20,150,322,538,794,1087,1026,505,92
202,Eastern Metro,VIC,2024,10742,10208,534,19,3548,7191,3121,1028,5,9,15,45,221,552,1093,1914,2775,2624,1271,217
203,Gippsland,VIC,2024,2912,2785,127,34,999,1912,317,313,3,10,24,25,87,222,370,547,675,622,283,43
204,Grampians,VIC,2024,2559,2474,85,12,876,1683,196,202,1,3,8,19,56,198,299,445,622,560,290,58
205,Hume,VIC,2024,2755,2647,108,11,970,1785,248,204,3,0,7,17,65,159,309,481,742,632,292,48
206,Loddon-Mallee,VIC,2024,3508,3374,134,20,1161,2345,220,191,4,5,6,21,102,208,407,641,841,850,366,56
207,Northern Metro,VIC,2024,6576,6180,396,16,2274,4302,2903,432,0,6,26,36,208,481,798,1229,1644,1435,624,88
208,Southern Metro,VIC,2024,12445,11864,581,25,4260,8184,3411,1601,6,10,18,62,342,850,1518,2279,3023,2764,1336,236
209,Western Metro,VIC,2024,5646,5335,311,16,1927,3717,2536,439,4,6,18,40,187,469,706,1041,1401,1179,505,90
301,Brisbane North,QLD,2024,4473,4367,106,25,1498,2974,530,481,2,0,7,18,113,320,562,837,1112,975,451,75
302,Brisbane South,QLD,2024,6476,6264,212,48,2230,4246,1066,844,1,0,8,20,170,480,852,1291,1531,1415,614,94
303,Cabool,QLD,2024,4051,3951,100,39,1433,2618,290,603,0,4,5,14,134,329,595,821,926,804,347,72
304,Central West,QLD,2024,48,46,2,1,25,23,0,3,0,0,0,0,3,9,7,9,10,9,1,0
305,Darling Downs,QLD,2024,2689,2598,91,38,945,1744,130,173,1,3,3,11,83,190,387,498,684,563,234,32
306,Far North,QLD,2024,2021,1926,95,197,826,1193,268,207,0,4,10,25,93,210,319,401,436,343,155,24
307,Fitzroy,QLD,2024,1311,1290,21,41,471,839,47,97,0,2,1,7,39,100,199,252,334,260,104,13
308,Logan River Valley,QLD,2024,2414,2357,57,72,853,1561,338,418,0,2,5,12,77,265,412,512,537,391,178,23
309,Mackay,QLD,2024,898,880,18,21,297,599,61,72,1,0,0,3,26,65,134,160,249,175,78,7
310,North West,QLD,2024,44,41,3,9,18,26,8,4,0,0,0,1,0,4,7,14,11,5,2,0
311,Northern,QLD,2024,1760,1723,37,74,615,1145,146,130,0,2,2,8,49,155,261,364,426,348,123,22
312,South Coast,QLD,2024,5006,4870,136,24,1736,3268,684,966,2,0,4,15,110,331,692,993,1188,1057,535,77
313,South West,QLD,2024,145,137,8,12,50,95,2,3,0,1,0,0,3,9,25,29,31,32,12,3
314,Sunshine Coast,QLD,2024,4727,4499,228,32,1703,3022,368,802,2,2,3,13,93,316,599,920,1219,1042,455,63
