SA3_CODE_2021,snapshot_year,sa3_name,state,mmm_code,n_facilities,overall_rating,quality_score,residents_exp,staffing,compliance,quality_measures,rn_mins_actual,total_mins_actual
10102,2023,Queanbeyan,NSW,MM1,3,3.333,3.333,3.333,2.667,4.333,3.0,,
10102,2024,Queanbeyan,NSW,MM1,3,4.0,3.833,3.333,3.333,4.667,4.0,44.333,203.667
10102,2025,Queanbeyan,NSW,MM1,3,4.0,3.5,3.667,2.667,4.667,3.0,44.333,223.667
10103,2023,Snowy Mountains,NSW,MM4,2,4.0,3.625,3.5,3.0,4.5,3.5,,
10103,2024,Snowy Mountains,NSW,MM4,2,4.0,3.75,4.0,2.0,4.0,5.0,44.5,233.0
10103,2025,Snowy Mountains,NSW,MM4,2,3.5,3.75,3.5,3.0,4.0,4.5,51.0,215.0
10104,2023,South Coast,NSW,MM5,13,3.727,3.611,3.0,2.667,4.667,4.0,,
10104,2024,South Coast,NSW,MM5,13,3.769,3.75,3.692,2.769,4.846,3.692,39.385,197.231
10104,2025,South Coast,NSW,MM5,13,4.0,3.981,4.231,3.308,4.846,3.538,47.615,213.231
10105,2023,Goulburn - Mulwaree,NSW,MM5,6,3.833,3.667,3.833,3.667,4.167,3.0,,
10105,2024,Goulburn - Mulwaree,NSW,MM5,6,3.667,3.708,3.5,3.333,4.5,3.5,41.0,206.0
10105,2025,Goulburn - Mulwaree,NSW,MM5,6,3.667,3.583,4.0,3.167,4.5,2.667,47.167,216.167
10106,2023,Young - Yass,NSW,MM4,6,3.2,3.694,3.833,3.333,3.8,3.667,,
10106,2024,Young - Yass,NSW,MM4,6,3.667,3.625,3.667,3.333,4.333,3.167,46.667,212.167
10106,2025,Young - Yass,NSW,MM4,6,3.833,3.667,3.667,3.667,4.5,2.833,52.5,223.667
10201,2023,Gosford,NSW,MM1,13,3.333,3.417,3.417,2.231,4.385,3.615,,
10201,2024,Gosford,NSW,MM1,15,3.5,3.518,3.214,2.929,4.571,3.357,42.8,212.6
10201,2025,Gosford,NSW,MM1,16,3.692,3.596,3.462,2.769,4.769,3.385,45.0,215.385
10202,2023,Wyong,NSW,MM1,20,3.1,3.088,3.3,2.15,4.05,2.85,,
10202,2024,Wyong,NSW,MM1,20,3.45,3.4,3.55,2.35,4.35,3.35,39.9,193.7
10202,2025,Wyong,NSW,MM1,20,3.706,3.632,3.588,3.059,4.706,3.176,46.412,215.824
10301,2023,Bathurst,NSW,MM3,6,3.333,3.333,3.5,2.5,4.5,2.833,,
10301,2024,Bathurst,NSW,MM3,6,3.5,3.458,3.0,3.0,4.667,3.167,41.667,202.667
10301,2025,Bathurst,NSW,MM3,6,3.667,3.667,3.167,3.0,4.833,3.667,46.0,205.0
10302,2023,Lachlan Valley,NSW,MM5,8,3.5,3.469,3.75,2.375,4.5,3.25,,
10302,2024,Lachlan Valley,NSW,MM5,10,3.875,3.5,4.0,2.5,4.5,3.0,31.2,156.6
10302,2025,Lachlan Valley,NSW,MM5,8,3.75,3.656,3.625,3.125,4.75,3.125,48.0,219.75
10303,2023,Lithgow - Mudgee,NSW,MM4,7,3.667,3.44,3.714,2.714,4.143,3.167,,
10303,2024,Lithgow - Mudgee,NSW,MM4,7,3.857,3.857,4.143,3.286,4.429,3.571,46.571,207.571
10303,2025,Lithgow - Mudgee,NSW,MM4,7,4.0,3.893,4.429,3.286,4.714,3.143,55.429,223.0
10304,2023,Orange,NSW,MM3,9,3.0,3.222,3.667,2.333,3.333,3.556,,
10304,2024,Orange,NSW,MM3,10,3.9,3.75,3.6,3.9,4.0,3.5,53.4,210.2
10304,2025,Orange,NSW,MM3,10,4.1,4.05,3.7,4.4,4.3,3.8,57.6,221.8
10401,2023,Clarence Valley,NSW,MM3,8,3.625,3.469,3.625,2.0,4.875,3.375,,
10401,2024,Clarence Valley,NSW,MM3,9,3.778,3.667,3.667,2.889,4.667,3.444,40.0,209.0
10401,2025,Clarence Valley,NSW,MM3,9,4.0,3.75,3.75,3.125,4.875,3.25,46.625,218.625
10402,2023,Coffs Harbour,NSW,MM5,13,3.273,3.545,3.273,2.333,4.231,3.833,,
10402,2024,Coffs Harbour,NSW,MM5,13,3.5,3.521,3.667,2.5,4.417,3.5,37.154,220.308
10402,2025,Coffs Harbour,NSW,MM3,12,3.778,3.553,3.8,2.455,4.818,3.0,41.636,224.364
10501,2023,Bourke - Cobar - Coonamble,NSW,MM6,4,4.0,3.875,4.0,3.5,4.5,3.5,,
10501,2024,Bourke - Cobar - Coonamble,NSW,MM6,4,3.5,3.75,4.0,3.5,4.0,3.5,42.75,194.5
10501,2025,Bourke - Cobar - Coonamble,NSW,MM6,3,3.667,3.917,4.0,2.667,4.333,4.667,44.667,194.0
10502,2023,Broken Hill and Far West,NSW,MM3,3,2.667,3.083,3.0,3.333,3.0,3.0,,
10502,2024,Broken Hill and Far West,NSW,MM3,3,3.667,3.917,3.667,4.667,3.667,3.667,52.667,250.333
10502,2025,Broken Hill and Far West,NSW,MM3,3,,,,,,,,
10503,2023,Dubbo,NSW,MM3,13,3.5,3.385,3.615,2.417,3.917,3.417,,
10503,2024,Dubbo,NSW,MM3,13,3.769,3.635,3.923,3.0,4.231,3.385,43.308,221.308
10503,2025,Dubbo,NSW,MM3,12,4.0,3.833,4.417,3.273,4.417,3.167,45.583,208.167
10601,2023,Lower Hunter,NSW,MM3,10,3.7,3.525,3.7,2.3,4.4,3.7,,
10601,2024,Lower Hunter,NSW,MM3,10,3.9,3.775,4.2,2.9,4.7,3.3,42.1,212.8
10601,2025,Lower Hunter,NSW,MM4,8,4.0,4.0,4.167,3.333,4.833,3.667,48.667,226.667
10602,2023,Maitland,NSW,MM1,6,3.5,3.542,3.5,2.833,4.333,3.5,,
10602,2024,Maitland,NSW,MM1,7,3.857,3.643,3.857,3.143,4.571,3.0,46.571,215.571
10602,2025,Maitland,NSW,MM1,7,4.0,3.875,4.167,3.333,4.5,3.5,47.0,216.0
10603,2023,Port Stephens,NSW,MM4,7,3.286,3.25,3.429,2.143,4.286,3.143,,
10603,2024,Port Stephens,NSW,MM4,7,3.571,3.393,3.714,2.429,4.571,2.857,42.143,213.143
10603,2025,Port Stephens,NSW,MM4,7,3.833,3.458,4.167,2.5,4.5,2.667,44.5,225.5
10604,2023,Upper Hunter,NSW,MM4,5,3.6,3.5,4.0,2.2,3.6,4.2,,
10604,2024,Upper Hunter,NSW,MM4,5,3.8,3.65,4.4,2.6,4.2,3.4,45.4,237.6
10604,2025,Upper Hunter,NSW,MM4,5,4.333,4.188,4.5,3.333,4.75,3.333,43.25,169.5
10701,2023,Dapto - Port Kembla,NSW,MM1,8,3.333,3.125,3.333,2.0,4.5,2.667,,
10701,2024,Dapto - Port Kembla,NSW,MM1,9,3.222,3.306,3.333,2.667,4.556,2.667,40.667,209.0
10701,2025,Dapto - Port Kembla,NSW,MM1,9,3.778,3.722,3.667,3.0,4.667,3.556,47.889,219.667
10703,2023,Kiama - Shellharbour,NSW,MM2,7,3.429,3.393,3.857,2.857,3.857,3.0,,
10703,2024,Kiama - Shellharbour,NSW,MM2,7,3.571,3.464,3.286,3.286,3.714,3.571,36.857,213.429
10703,2025,Kiama - Shellharbour,NSW,MM2,7,4.0,3.708,3.667,3.5,4.5,3.167,47.833,223.667
10704,2023,Wollongong,NSW,MM1,10,3.333,3.278,3.778,2.444,4.0,2.889,,
10704,2024,Wollongong,NSW,MM1,11,3.455,3.386,3.455,2.364,4.455,3.273,34.545,197.273
10704,2025,Wollongong,NSW,MM1,11,3.6,3.705,3.545,2.9,4.545,3.727,43.909,228.545
10801,2023,Great Lakes,NSW,MM3,5,3.4,3.4,3.8,2.0,4.0,3.8,,
10801,2024,Great Lakes,NSW,MM3,6,4.0,3.875,4.0,2.4,4.333,4.6,100.333,352.5
10801,2025,Great Lakes,NSW,MM3,6,4.0,4.083,4.167,3.167,4.5,4.5,46.833,215.0
10802,2023,Kempsey - Nambucca,NSW,MM4,9,3.111,3.139,3.444,2.111,4.0,3.0,,
10802,2024,Kempsey - Nambucca,NSW,MM4,9,3.75,3.5,3.625,2.5,4.625,3.25,31.222,183.778
10802,2025,Kempsey - Nambucca,NSW,MM4,9,4.0,3.4,4.0,3.0,4.6,2.0,36.6,168.6
10804,2023,Port Macquarie,NSW,MM3,12,3.5,3.354,3.5,2.0,4.167,3.75,,
10804,2024,Port Macquarie,NSW,MM3,14,3.727,3.705,3.818,2.818,4.455,3.727,60.071,290.643
10804,2025,Port Macquarie,NSW,MM3,14,3.846,3.769,4.154,3.077,4.538,3.308,45.846,213.615
10805,2023,Taree - Gloucester,NSW,MM3,9,3.0,3.111,3.444,1.778,3.778,3.444,,
10805,2024,Taree - Gloucester,NSW,MM3,9,3.333,3.333,3.444,2.222,4.0,3.667,35.778,199.0
10805,2025,Taree - Gloucester,NSW,MM3,9,3.875,3.812,3.75,3.125,4.5,3.875,49.375,211.5
10901,2023,Albury,NSW,MM2,11,3.455,3.432,3.545,2.273,4.364,3.545,,
10901,2024,Albury,NSW,MM2,12,3.917,3.896,4.0,3.833,4.5,3.25,53.75,215.5
10901,2025,Albury,NSW,MM2,12,4.182,4.159,4.182,3.818,4.818,3.818,62.909,229.182
10902,2023,Lower Murray,NSW,MM5,3,3.667,3.583,4.0,1.667,4.333,4.333,,
10902,2024,Lower Murray,NSW,MM5,3,4.0,3.917,4.0,3.667,4.667,3.333,59.0,256.0
10902,2025,Lower Murray,NSW,MM5,3,4.0,3.917,4.333,3.667,4.0,3.667,76.333,248.667
10903,2023,Upper Murray exc. Albury,NSW,MM3,10,3.6,3.45,4.0,2.0,4.5,3.3,,
10903,2024,Upper Murray exc. Albury,NSW,MM3,11,3.9,3.841,4.091,3.0,4.4,3.909,45.545,223.182
10903,2025,Upper Murray exc. Albury,NSW,MM3,10,4.1,4.125,4.3,3.7,4.6,3.9,47.0,227.5
11001,2023,Armidale,NSW,MM3,7,3.571,3.571,3.429,2.714,4.571,3.571,,
11001,2024,Armidale,NSW,MM3,7,3.571,3.679,3.857,2.857,4.571,3.429,42.143,201.429
11001,2025,Armidale,NSW,MM3,7,4.0,3.75,3.857,3.0,4.667,3.333,46.0,212.0
11002,2023,Inverell - Tenterfield,NSW,MM4,7,3.714,3.607,4.0,2.571,4.286,3.571,,
11002,2024,Inverell - Tenterfield,NSW,MM4,9,4.0,3.917,4.222,3.444,4.714,3.444,36.667,225.667
11002,2025,Inverell - Tenterfield,NSW,MM4,9,4.0,3.806,3.889,3.0,4.556,3.778,40.778,232.889
11003,2023,Moree - Narrabri,NSW,MM4,4,3.75,3.75,4.0,3.0,4.5,3.5,,
11003,2024,Moree - Narrabri,NSW,MM4,4,4.25,4.0,4.0,4.5,4.75,2.75,53.25,231.0
11003,2025,Moree - Narrabri,NSW,MM4,4,4.0,4.0,4.0,4.25,4.75,3.0,58.0,234.25
11004,2023,Tamworth - Gunnedah,NSW,MM3,11,3.545,3.386,3.545,2.455,4.091,3.455,,
11004,2024,Tamworth - Gunnedah,NSW,MM3,12,3.636,3.523,4.0,2.455,4.364,3.273,34.667,190.0
11004,2025,Tamworth - Gunnedah,NSW,MM3,11,4.0,3.667,3.667,3.0,4.6,3.4,47.8,216.9
11101,2023,Lake Macquarie - East,NSW,MM1,11,3.4,3.2,3.3,2.2,4.6,2.7,,
11101,2024,Lake Macquarie - East,NSW,MM1,12,3.636,3.477,3.818,2.545,4.636,2.909,45.75,239.25
11101,2025,Lake Macquarie - East,NSW,MM1,12,3.818,3.636,3.727,2.818,4.727,3.273,43.455,216.818
11102,2023,Lake Macquarie - West,NSW,MM1,11,2.909,2.955,3.273,1.818,3.727,3.0,,
11102,2024,Lake Macquarie - West,NSW,MM1,12,3.75,3.542,3.667,2.583,4.167,3.75,39.667,204.5
11102,2025,Lake Macquarie - West,NSW,MM1,12,3.917,3.667,3.917,2.833,4.5,3.417,47.0,218.167
11103,2023,Newcastle,NSW,MM1,22,3.238,3.274,3.19,2.143,4.048,3.714,,
11103,2024,Newcastle,NSW,MM1,22,3.682,3.557,3.864,2.818,4.227,3.318,41.227,203.409
11103,2025,Newcastle,NSW,MM1,22,3.85,3.712,3.8,3.15,4.35,3.55,47.45,217.3
11201,2023,Richmond Valley - Coastal,NSW,MM3,11,3.273,3.227,3.455,2.273,3.909,3.273,,
11201,2024,Richmond Valley - Coastal,NSW,MM3,12,3.545,3.375,3.667,2.273,4.273,3.364,41.833,198.333
11201,2025,Richmond Valley - Coastal,NSW,MM3,12,4.0,3.773,4.0,3.091,4.545,3.455,45.909,210.909
11202,2023,Richmond Valley - Hinterland,NSW,MM4,9,3.444,3.417,3.333,2.333,4.444,3.556,,
11202,2024,Richmond Valley - Hinterland,NSW,MM4,9,3.667,3.722,3.667,3.0,4.556,3.667,40.333,221.667
11202,2025,Richmond Valley - Hinterland,NSW,MM4,9,3.889,3.722,3.889,3.0,4.889,3.111,46.889,226.333
11203,2023,Tweed Valley,NSW,MM1,12,3.417,3.333,3.667,1.917,4.5,3.25,,
11203,2024,Tweed Valley,NSW,MM1,14,3.75,3.667,3.667,2.917,4.667,3.417,41.357,202.929
11203,2025,Tweed Valley,NSW,MM1,14,3.857,3.821,4.0,3.0,4.643,3.643,47.643,216.929
11301,2023,Griffith - Murrumbidgee (West),NSW,MM5,10,3.6,3.425,4.1,2.1,4.3,3.2,,
11301,2024,Griffith - Murrumbidgee (West),NSW,MM5,10,3.9,3.725,3.9,2.9,4.5,3.6,35.6,195.1
11301,2025,Griffith - Murrumbidgee (West),NSW,MM5,10,4.0,3.892,4.1,3.1,4.7,3.556,45.9,222.9
11302,2023,Tumut - Tumbarumba,NSW,MM4,2,3.5,3.375,3.5,3.5,4.5,2.0,,
11302,2024,Tumut - Tumbarumba,NSW,MM4,2,4.0,3.75,3.5,3.5,5.0,3.0,52.5,227.0
11302,2025,Tumut - Tumbarumba,NSW,MM4,2,4.5,4.5,4.0,5.0,5.0,4.0,62.0,242.5
11303,2023,Wagga Wagga,NSW,MM3,16,3.267,3.349,3.688,2.625,3.8,3.312,,
11303,2024,Wagga Wagga,NSW,MM3,16,3.733,3.633,3.8,3.267,4.2,3.267,37.875,204.312
11303,2025,Wagga Wagga,NSW,MM3,16,3.857,3.745,3.938,3.071,4.375,3.5,41.0,196.562
11401,2023,Shoalhaven,NSW,MM3,15,3.4,3.35,3.6,2.533,4.067,3.2,,
11401,2024,Shoalhaven,NSW,MM3,17,3.588,3.529,3.529,2.824,4.471,3.294,41.588,211.412
11401,2025,Shoalhaven,NSW,MM3,16,3.8,3.672,3.75,3.0,4.562,3.333,46.875,212.875
11402,2023,Southern Highlands,NSW,MM3,6,3.333,3.5,3.167,3.167,4.167,3.5,,
11402,2024,Southern Highlands,NSW,MM3,6,3.667,3.875,3.667,3.333,4.167,4.333,41.0,225.833
11402,2025,Southern Highlands,NSW,MM3,6,3.833,3.875,3.667,2.833,4.833,4.167,46.167,211.167
11501,2023,Baulkham Hills,NSW,MM1,12,3.583,3.438,3.583,2.167,4.25,3.75,,
11501,2024,Baulkham Hills,NSW,MM1,17,3.824,3.735,3.706,2.824,4.588,3.824,41.471,205.412
11501,2025,Baulkham Hills,NSW,MM1,17,3.938,3.735,3.765,2.812,4.812,3.688,45.375,218.562
11502,2023,Dural - Wisemans Ferry,NSW,MM1,3,3.333,3.583,3.667,3.667,3.667,3.333,,
11502,2024,Dural - Wisemans Ferry,NSW,MM1,4,3.75,3.812,3.25,3.5,4.25,4.25,44.5,216.25
11502,2025,Dural - Wisemans Ferry,NSW,MM1,4,4.0,3.812,4.25,2.75,4.5,3.75,44.25,223.5
11503,2023,Hawkesbury,NSW,MM2,1,4.0,4.0,5.0,4.0,3.0,4.0,,
11503,2024,Hawkesbury,NSW,MM2,1,4.0,4.0,3.0,5.0,4.0,4.0,55.0,244.0
11503,2025,Hawkesbury,NSW,MM2,1,4.0,4.25,4.0,4.0,4.0,5.0,55.0,226.0
11601,2023,Blacktown,NSW,MM1,9,3.778,3.778,3.667,2.667,4.667,4.111,,
11601,2024,Blacktown,NSW,MM1,9,3.667,3.75,3.111,3.0,4.778,4.111,42.222,206.444
11601,2025,Blacktown,NSW,MM1,9,3.875,3.844,3.375,3.0,4.875,4.125,45.625,220.75
11602,2023,Blacktown - North,NSW,MM1,2,4.0,4.0,5.0,2.0,5.0,4.0,,
11602,2024,Blacktown - North,NSW,MM1,3,4.0,3.833,3.333,3.333,4.667,4.0,50.667,225.333
11602,2025,Blacktown - North,NSW,MM1,3,3.667,3.917,3.667,3.0,4.667,4.333,46.0,223.667
11603,2023,Mount Druitt,NSW,MM1,7,3.714,3.714,4.0,3.143,4.286,3.429,,
11603,2024,Mount Druitt,NSW,MM1,9,3.556,3.556,3.444,2.889,4.444,3.444,41.0,211.556
11603,2025,Mount Druitt,NSW,MM1,9,3.875,3.917,3.778,3.125,4.556,4.111,45.444,220.222
11701,2023,Botany,NSW,MM1,2,3.5,3.125,3.0,2.5,4.0,3.0,,
11701,2024,Botany,NSW,MM1,2,4.0,3.75,4.0,3.0,4.5,3.5,45.5,217.0
11701,2025,Botany,NSW,MM1,2,3.5,3.625,4.0,3.0,4.5,3.0,48.0,225.5
11702,2023,Marrickville - Sydenham - Petersham,NSW,MM1,4,3.5,3.688,3.25,2.25,5.0,4.25,,
11702,2024,Marrickville - Sydenham - Petersham,NSW,MM1,5,4.0,3.8,3.2,2.8,4.8,4.4,40.4,191.6
11702,2025,Marrickville - Sydenham - Petersham,NSW,MM1,5,4.0,4.0,3.8,3.2,4.8,4.2,44.2,208.6
11703,2023,Sydney Inner City,NSW,MM1,8,4.125,4.0,3.0,3.625,4.875,4.5,,
11703,2024,Sydney Inner City,NSW,MM1,9,4.0,4.0,3.333,3.444,4.889,4.333,44.444,193.556
11703,2025,Sydney Inner City,NSW,MM1,9,4.0,3.938,3.375,2.875,5.0,4.5,44.0,196.875
11801,2023,Eastern Suburbs - North,NSW,MM1,13,3.538,3.558,3.231,2.462,4.385,4.154,,
11801,2024,Eastern Suburbs - North,NSW,MM1,14,3.769,3.762,3.385,3.0,4.571,4.071,43.214,202.0
11801,2025,Eastern Suburbs - North,NSW,MM1,14,3.923,3.887,3.5,3.214,4.714,4.154,48.5,223.929
11802,2023,Eastern Suburbs - South,NSW,MM1,13,3.615,3.538,3.385,2.846,4.077,3.846,,
11802,2024,Eastern Suburbs - South,NSW,MM1,14,3.643,3.714,3.429,3.143,4.429,3.857,45.929,210.0
11802,2025,Eastern Suburbs - South,NSW,MM1,14,3.846,3.827,3.538,3.462,4.692,3.615,49.538,222.308
11901,2023,Bankstown,NSW,MM1,14,3.429,3.411,3.286,2.571,3.929,3.857,,
11901,2024,Bankstown,NSW,MM1,16,3.625,3.672,3.312,2.75,4.375,4.25,42.375,211.5
11901,2025,Bankstown,NSW,MM1,17,3.812,3.75,3.562,2.938,4.438,4.062,47.062,232.125
