service_name,sa3_code,sa3_name,state,care_type,org_type,year,funding
101 Home Care,11103.0,Newcastle,NSW,Home Care,profit,2023,2111167.49
101 Home Care,11103.0,Newcastle,NSW,Home Care,profit,2024,6342546.24
101 Home Care,11103.0,Newcastle,NSW,Home Care,profit,2025,6182911.23
1st Care Community Pty Ltd,30304.0,Nathan,QLD,Home Care,profit,2019,555622.209999999
1st Care Community Pty Ltd,30304.0,Nathan,QLD,Home Care,profit,2020,1367310.51
1st Care Community Pty Ltd,30304.0,Nathan,QLD,Home Care,profit,2021,2015010.21
1st Care Community Pty Ltd,30304.0,Nathan,QLD,Home Care,profit,2022,2547735.24
1st Care Community Pty Ltd,30304.0,Nathan,QLD,Home Care,profit,2023,5187793.81
1st Care Community Pty Ltd,30304.0,Nathan,QLD,Home Care,profit,2024,8838529.5
1st Care Community Pty Ltd,30304.0,Nathan,QLD,Home Care,profit,2025,14857262.62
365 Care,12403.0,Penrith,NSW,Home Care,profit,2022,3898071.4
365 Care,12403.0,Penrith,NSW,Home Care,profit,2023,5226199.06
365 Care,12403.0,Penrith,NSW,Home Care,profit,2024,5102966.02
365 Care,12403.0,Penrith,NSW,Home Care,profit,2025,78068.53
365 Care,12504.0,Parramatta,NSW,Home Care,profit,2019,704837.429999997
365 Care,12504.0,Parramatta,NSW,Home Care,profit,2020,1830293.43
365 Care,12504.0,Parramatta,NSW,Home Care,profit,2021,2388045.58
3Bridges Community Incorporated,11903.0,Hurstville,NSW,Home Care,not_for_profit,2019,3630004.78000003
3Bridges Community Incorporated,11903.0,Hurstville,NSW,Home Care,not_for_profit,2020,7189604.490000001
3Bridges Community Incorporated,11903.0,Hurstville,NSW,Home Care,not_for_profit,2021,11927822.93
3Bridges Community Incorporated,11903.0,Hurstville,NSW,Home Care,not_for_profit,2022,16382530.15
3Bridges Community Incorporated,11903.0,Hurstville,NSW,Home Care,not_for_profit,2023,19318524.5
3Bridges Community Incorporated,11903.0,Hurstville,NSW,Home Care,not_for_profit,2024,23988004.07
3Bridges Community Incorporated,11903.0,Hurstville,NSW,Home Care,not_for_profit,2025,20963685.14
501 Respite & Care Services,30903.0,Gold Coast - North,QLD,Residential,profit,2019,3734684.23
501 Respite & Care Services,30903.0,Gold Coast - North,QLD,Residential,profit,2020,3734062.27
501 Respite & Care Services,30903.0,Gold Coast - North,QLD,Residential,profit,2021,3659311.43
501 Respite & Care Services,30903.0,Gold Coast - North,QLD,Residential,profit,2022,3738699.55
501 Respite & Care Services,30903.0,Gold Coast - North,QLD,Residential,profit,2023,4591629.08
501 Respite & Care Services,30903.0,Gold Coast - North,QLD,Residential,profit,2024,5601864.6
501 Respite & Care Services,30903.0,Gold Coast - North,QLD,Residential,profit,2025,6672057.19
70 Lowe Street,21501.0,Grampians,VIC,Residential,government,2019,3426278.84
70 Lowe Street,21501.0,Grampians,VIC,Residential,government,2020,3410591.14
70 Lowe Street,21501.0,Grampians,VIC,Residential,government,2021,3464040.64
70 Lowe Street,21501.0,Grampians,VIC,Residential,government,2022,3202635.33
70 Lowe Street,21501.0,Grampians,VIC,Residential,government,2023,3661291.0900000003
70 Lowe Street,21501.0,Grampians,VIC,Residential,government,2024,5107767.35
70 Lowe Street,21501.0,Grampians,VIC,Residential,government,2025,5388879.4
A H Orr Lodge,12003.0,Strathfield - Burwood - Ashfield,NSW,Residential,not_for_profit,2019,3588861.22
A H Orr Lodge,12003.0,Strathfield - Burwood - Ashfield,NSW,Residential,not_for_profit,2020,3688880.24
A H Orr Lodge,12003.0,Strathfield - Burwood - Ashfield,NSW,Residential,not_for_profit,2021,3759322.53
A H Orr Lodge,12003.0,Strathfield - Burwood - Ashfield,NSW,Residential,not_for_profit,2022,3915819.48
A H Orr Lodge,12003.0,Strathfield - Burwood - Ashfield,NSW,Residential,not_for_profit,2023,4320151.43
A H Orr Lodge,12003.0,Strathfield - Burwood - Ashfield,NSW,Residential,not_for_profit,2024,5865907.92
A and D In Home Care,12403.0,Penrith,NSW,Home Care,profit,2024,0.0
A and D In Home Care,12403.0,Penrith,NSW,Home Care,profit,2025,196447.68
A. G. Eastwood Hostel,20803.0,Kingston,VIC,Residential,government,2019,1912130.15
A. G. Eastwood Hostel,20803.0,Kingston,VIC,Residential,government,2020,2210362.21
A. G. Eastwood Hostel,20803.0,Kingston,VIC,Residential,government,2021,2342131.11
ACCA Chinese Home Care Service - Northern Sydney,12101.0,Chatswood - Lane Cove,NSW,Home Care,not_for_profit,2019,469853.059999999
ACCA Chinese Home Care Service - Northern Sydney,12101.0,Chatswood - Lane Cove,NSW,Home Care,not_for_profit,2020,1293528.0199999993
ACCA Chinese Home Care Service - Northern Sydney,12101.0,Chatswood - Lane Cove,NSW,Home Care,not_for_profit,2021,2216962.77
ACCA Chinese Home Care Service - Northern Sydney,12101.0,Chatswood - Lane Cove,NSW,Home Care,not_for_profit,2022,3400428.52
ACCA Chinese Home Care Service - Northern Sydney,12101.0,Chatswood - Lane Cove,NSW,Home Care,not_for_profit,2023,4641815.36
ACCA Chinese Home Care Service - Northern Sydney,12101.0,Chatswood - Lane Cove,NSW,Home Care,not_for_profit,2024,5815001.42
ACCA Chinese Home Care Service - Northern Sydney,12101.0,Chatswood - Lane Cove,NSW,Home Care,not_for_profit,2025,6108851.08
