sa3_code,sa3_name,n_facilities,n_residential,n_homecare,residential_places,homecare_places,n_nfp,n_government,n_private,year
10102.0,Queanbeyan,6,3,3,255.0,2.0,4,1,1,2019
10103.0,Snowy Mountains,9,6,2,179.0,4.0,2,7,0,2019
10104.0,South Coast,31,15,16,1088.0,0.0,23,1,7,2019
10105.0,Goulburn - Mulwaree,12,6,6,404.0,0.0,12,0,0,2019
10106.0,Young - Yass,14,8,5,385.0,0.0,8,3,3,2019
10201.0,Gosford,39,19,19,1989.0,0.0,18,1,20,2019
10202.0,Wyong,39,21,17,1843.0,0.0,22,0,17,2019
10301.0,Bathurst,18,7,11,570.0,8.0,14,1,3,2019
10302.0,Lachlan Valley,32,20,11,813.0,11.0,19,9,4,2019
10303.0,Lithgow - Mudgee,15,11,4,497.0,1.0,9,4,2,2019
10304.0,Orange,20,13,5,711.0,0.0,15,2,3,2019
10401.0,Clarence Valley,17,9,6,671.0,0.0,10,4,3,2019
10402.0,Coffs Harbour,28,14,13,916.0,6.0,20,2,6,2019
10501.0,Bourke - Cobar - Coonamble,17,15,2,275.0,18.0,4,12,1,2019
10502.0,Broken Hill and Far West,13,4,7,222.0,5.0,10,2,1,2019
10503.0,Dubbo,33,19,13,962.0,17.0,20,9,4,2019
10601.0,Lower Hunter,19,11,7,818.0,0.0,18,1,0,2019
10602.0,Maitland,9,6,3,549.0,0.0,7,0,2,2019
10603.0,Port Stephens,13,8,5,704.0,0.0,8,0,5,2019
10604.0,Upper Hunter,16,9,7,317.0,0.0,13,3,0,2019
10701.0,Dapto - Port Kembla,20,9,10,885.0,0.0,18,1,1,2019
10703.0,Kiama - Shellharbour,15,9,6,872.0,0.0,12,2,1,2019
10704.0,Wollongong,31,14,17,1406.0,0.0,24,1,6,2019
10801.0,Great Lakes,9,5,4,561.0,0.0,5,1,3,2019
10802.0,Kempsey - Nambucca,22,9,13,843.0,0.0,18,0,4,2019
10804.0,Port Macquarie,38,12,24,1129.0,0.0,25,4,9,2019
10805.0,Taree - Gloucester,19,10,8,763.0,0.0,15,3,1,2019
10901.0,Albury,27,15,10,774.0,2.0,19,4,4,2019
10902.0,Lower Murray,5,4,1,119.0,0.0,2,2,1,2019
10903.0,Upper Murray exc. Albury,19,16,3,607.0,5.0,13,5,1,2019
11001.0,Armidale,17,9,7,373.0,0.0,8,6,3,2019
11002.0,Inverell - Tenterfield,21,14,7,520.0,13.0,12,7,2,2019
11003.0,Moree - Narrabri,8,4,3,207.0,0.0,5,2,1,2019
11004.0,Tamworth - Gunnedah,29,15,12,759.0,7.0,19,9,1,2019
11101.0,Lake Macquarie - East,31,18,13,1195.0,0.0,24,0,7,2019
11102.0,Lake Macquarie - West,19,11,7,1048.0,0.0,16,0,3,2019
11103.0,Newcastle,47,23,21,2229.0,0.0,35,4,8,2019
11201.0,Richmond Valley - Coastal,24,12,12,926.0,0.0,23,0,1,2019
11202.0,Richmond Valley - Hinterland,26,13,11,733.0,12.0,20,5,1,2019
11203.0,Tweed Valley,34,15,17,1390.0,9.0,25,1,8,2019
11301.0,Griffith - Murrumbidgee (West),19,11,8,587.0,0.0,12,3,4,2019
11302.0,Tumut - Tumbarumba,8,4,4,183.0,10.0,4,3,1,2019
11303.0,Wagga Wagga,39,19,19,897.0,0.0,25,8,6,2019
11401.0,Shoalhaven,35,18,15,1268.0,0.0,29,1,5,2019
11402.0,Southern Highlands,25,7,17,724.0,0.0,12,0,13,2019
11501.0,Baulkham Hills,82,19,62,2353.0,0.0,31,1,50,2019
11502.0,Dural - Wisemans Ferry,4,3,1,229.0,0.0,2,0,2,2019
11503.0,Hawkesbury,1,1,0,30.0,0.0,1,0,0,2019
11601.0,Blacktown,19,9,8,931.0,5.0,12,1,6,2019
11602.0,Blacktown - North,2,2,0,231.0,0.0,1,0,1,2019
11603.0,Mount Druitt,25,8,16,834.0,0.0,24,0,1,2019
11701.0,Botany,3,2,1,228.0,0.0,2,0,1,2019
11702.0,Marrickville - Sydenham - Petersham,6,5,1,461.0,0.0,3,0,3,2019
11703.0,Sydney Inner City,66,8,56,662.0,0.0,51,1,14,2019
11801.0,Eastern Suburbs - North,24,16,7,1081.0,0.0,13,1,10,2019
11802.0,Eastern Suburbs - South,20,16,3,1287.0,0.0,13,1,6,2019
11901.0,Bankstown,26,16,9,1800.0,0.0,15,1,10,2019
11902.0,Canterbury,27,11,14,901.0,0.0,22,0,5,2019
11903.0,Hurstville,23,14,9,1167.0,0.0,16,0,7,2019
11904.0,Kogarah - Rockdale,29,21,7,1621.0,0.0,13,1,15,2019
12001.0,Canada Bay,12,10,1,904.0,0.0,6,1,5,2019
12002.0,Leichhardt,17,5,12,411.0,0.0,16,0,1,2019
12003.0,Strathfield - Burwood - Ashfield,40,28,12,1945.0,0.0,21,0,19,2019
12101.0,Chatswood - Lane Cove,29,14,15,1001.0,0.0,18,1,10,2019
12102.0,Hornsby,19,14,5,1087.0,0.0,8,0,11,2019
12103.0,Ku-ring-gai,28,16,10,993.0,0.0,16,0,12,2019
12104.0,North Sydney - Mosman,9,8,1,516.0,0.0,3,0,6,2019
12201.0,Manly,3,3,0,197.0,0.0,2,0,1,2019
12202.0,Pittwater,11,9,2,552.0,0.0,4,0,7,2019
12203.0,Warringah,35,18,16,1743.0,0.0,21,1,13,2019
12301.0,Camden,10,5,5,574.0,0.0,1,0,9,2019
12302.0,Campbelltown (NSW),14,6,8,933.0,0.0,9,1,4,2019
12303.0,Wollondilly,5,3,2,271.0,0.0,3,0,2,2019
12401.0,Blue Mountains,13,7,6,677.0,0.0,10,0,3,2019
12403.0,Penrith,24,9,14,762.0,0.0,17,1,6,2019
12404.0,Richmond - Windsor,10,5,5,463.0,0.0,7,0,3,2019
12405.0,St Marys,3,1,1,126.0,0.0,2,0,1,2019
12501.0,Auburn,12,5,7,431.0,0.0,5,0,7,2019
12502.0,Carlingford,5,4,1,355.0,0.0,3,0,2,2019
