snapshot,snapshot_date,Service Name,Provider Name,Purpose,state,acpr_name,mmm_code,mmm_region,overall_rating,residents_exp,compliance,staffing,quality_measures,quality_score,rn_minutes_target,rn_minutes_actual,total_minutes_target,total_minutes_actual,rn_compliant,total_compliant,fully_compliant,sa3_code,sa3_name
August 2023,2023-08-01,Mildred Symons House,Anglican Community Services,Not for profit,NSW,South East Sydney,MM1,Metropolitan,3.0,3.0,4.0,2.0,4.0,3.25,,,,,,,,12802.0,Sutherland - Menai - Heathcote
August 2023,2023-08-01,Bowral House Nursing Home,Thompson Health Care Pty Ltd,For profit,NSW,South West Sydney,MM3,Large rural towns,4.0,3.0,4.0,4.0,4.0,3.75,,,,,,,,11402.0,Southern Highlands
August 2023,2023-08-01,Whiddon Moree Nursing Home,The Frank Whiddon Masonic Homes of New South Wales,Not for profit,NSW,New England,MM4,Medium rural towns,3.0,4.0,3.0,3.0,3.0,3.25,,,,,,,,11003.0,Moree - Narrabri
August 2023,2023-08-01,William Beech Gardens - Bushmaster,RSL LifeCare Limited,Not for profit,NSW,Central West,MM5,Small rural towns,2.0,3.0,2.0,4.0,4.0,3.25,,,,,,,,10302.0,Lachlan Valley
August 2023,2023-08-01,Uniting Wesley Heights Manly,The Uniting Church in Australia Property Trust (NSW),Not for profit,NSW,Northern Sydney,MM1,Metropolitan,4.0,4.0,5.0,1.0,5.0,3.75,,,,,,,,12201.0,Manly
August 2023,2023-08-01,Scalabrini Village Nursing Home (Austral),Scalabrini Village Ltd,Not for profit,NSW,South West Sydney,MM1,Metropolitan,3.0,3.0,3.0,2.0,5.0,3.25,,,,,,,,12701.0,Bringelly - Green Valley
August 2023,2023-08-01,Hillgrove House,Sapphire Coast Community Aged Care Ltd,Not for profit,NSW,Southern Highlands,MM5,Small rural towns,3.0,3.0,5.0,2.0,3.0,3.25,,,,,,,,10104.0,South Coast
August 2023,2023-08-01,Harbison Burradoo,Harbison Memorial Retirement Village,Not for profit,NSW,South West Sydney,MM3,Large rural towns,4.0,3.0,5.0,3.0,3.0,3.5,,,,,,,,11402.0,Southern Highlands
August 2023,2023-08-01,Dubbo Homestead Care Community,DPG Services Pty Ltd,For profit,NSW,Orana Far West,MM3,Large rural towns,3.0,3.0,5.0,2.0,3.0,3.25,,,,,,,,10503.0,Dubbo
August 2023,2023-08-01,Catholic Healthcare St Joseph Aged Care,Catholic Healthcare Limited,Not for profit,NSW,Northern Sydney,MM1,Metropolitan,3.0,3.0,5.0,2.0,3.0,3.25,,,,,,,,12602.0,Ryde - Hunters Hill
August 2023,2023-08-01,Shoalhaven Place Care Community,DPG Services Pty Ltd,For profit,NSW,Illawarra,MM3,Large rural towns,4.0,4.0,5.0,3.0,4.0,4.0,,,,,,,,11401.0,Shoalhaven
August 2023,2023-08-01,IRT Woonona,Illawarra Retirement Trust,Not for profit,NSW,Illawarra,MM1,Metropolitan,2.0,3.0,3.0,1.0,2.0,2.25,,,,,,,,10704.0,Wollongong
August 2023,2023-08-01,Bathurst Riverview Care Community,DPG Services Pty Ltd,For profit,NSW,Central West,MM3,Large rural towns,4.0,3.0,5.0,2.0,4.0,3.5,,,,,,,,10301.0,Bathurst
August 2023,2023-08-01,Mercy Place Albury,Mercy Aged and Community Care Ltd,Not for profit,NSW,Riverina/Murray,MM2,Regional centres,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,10901.0,Albury
August 2023,2023-08-01,Piper House,Anglican Community Services,Not for profit,NSW,Illawarra,MM1,Metropolitan,4.0,4.0,4.0,2.0,5.0,3.75,,,,,,,,10701.0,Dapto - Port Kembla
August 2023,2023-08-01,Norah Head Care Community,DPG Services Pty Ltd,For profit,NSW,Central Coast,MM1,Metropolitan,4.0,4.0,5.0,3.0,4.0,4.0,,,,,,,,10202.0,Wyong
August 2023,2023-08-01,Adelene Nursing Home,Alino Living,Not for profit,NSW,Central Coast,MM1,Metropolitan,3.0,3.0,4.0,3.0,2.0,3.0,,,,,,,,10201.0,Gosford
August 2023,2023-08-01,Catholic Healthcare St Bedes Home,Catholic Healthcare Limited,Not for profit,NSW,South East Sydney,MM1,Metropolitan,4.0,4.0,5.0,3.0,3.0,3.75,,,,,,,,11903.0,Hurstville
August 2023,2023-08-01,Narrandera Homestead Care Community,DPG Services Pty Ltd,For profit,NSW,Riverina/Murray,MM5,Small rural towns,4.0,3.0,5.0,2.0,4.0,3.5,,,,,,,,11301.0,Griffith - Murrumbidgee (West)
August 2023,2023-08-01,Catholic Healthcare Lewisham Nursing Home,Catholic Healthcare Limited,Not for profit,NSW,Inner West,MM1,Metropolitan,4.0,3.0,5.0,4.0,3.0,3.75,,,,,,,,12003.0,Strathfield - Burwood - Ashfield
August 2023,2023-08-01,Uniting Narla Belmont North,The Uniting Church in Australia Property Trust (NSW),Not for profit,NSW,Hunter,MM1,Metropolitan,4.0,3.0,5.0,3.0,3.0,3.5,,,,,,,,11101.0,Lake Macquarie - East
August 2023,2023-08-01,The Whiddon Group - Narrabri - Jessie Hunt,The Frank Whiddon Masonic Homes of New South Wales,Not for profit,NSW,New England,MM4,Medium rural towns,4.0,4.0,5.0,4.0,4.0,4.25,,,,,,,,11003.0,Moree - Narrabri
August 2023,2023-08-01,Bupa Kempsey,Bupa Aged Care Australia Pty Ltd,For profit,NSW,Mid North Coast,MM4,Medium rural towns,3.0,4.0,5.0,2.0,1.0,3.0,,,,,,,,10802.0,Kempsey - Nambucca
