snapshot_year,SA3_CODE_2021,SA3_NAME_2021,Service Name,Provider Name,Service Suburb,State/Territory,Aged Care Planning Region,MMM Code,MMM Region,Size,Purpose,Overall Star Rating,Residents' Experience rating,Staffing rating,Compliance rating,Quality Measures rating,[S] Registered Nurse Care Minutes - Actual,[S] Total Care Minutes - Actual,quality_score
2023,11402,Southern Highlands,Bowral House Nursing Home,Thompson Health Care Pty Ltd,,NSW,South West Sydney,MM3,Large rural towns,Medium,For Profit,4.0,3.0,3.0,4.0,5.0,,,3.75
2023,11003,Moree - Narrabri,Whiddon Moree Nursing Home,The Frank Whiddon Masonic Homes of New South Wales,,NSW,New England,MM4,Medium rural towns,Small,Not for Profit,3.0,4.0,2.0,3.0,3.0,,,3.0
2023,10302,Lachlan Valley,William Beech Gardens - Bushmaster,RSL LifeCare Limited,,NSW,Central West,MM5,Small rural towns,Small,Not for Profit,3.0,3.0,3.0,3.0,3.0,,,3.0
2023,12201,Manly,Uniting Wesley Heights Manly,The Uniting Church in Australia Property Trust (NSW),,NSW,Northern Sydney,MM1,Metropolitan,Medium,Not for Profit,4.0,4.0,2.0,5.0,5.0,,,4.0
2023,12701,Bringelly - Green Valley,Scalabrini Village Nursing Home (Austral),Scalabrini Village Ltd,,NSW,South West Sydney,MM1,Metropolitan,Large,Not for Profit,3.0,3.0,3.0,3.0,5.0,,,3.5
2023,10104,South Coast,Hillgrove House,Sapphire Coast Community Aged Care Ltd,,NSW,Southern Highlands,MM5,Small rural towns,Medium,Not for Profit,4.0,3.0,3.0,5.0,4.0,,,3.75
2023,11402,Southern Highlands,Harbison Burradoo,Harbison Memorial Retirement Village,,NSW,South West Sydney,MM3,Large rural towns,Medium,Not for Profit,3.0,3.0,3.0,5.0,2.0,,,3.25
2023,10503,Dubbo,Dubbo Homestead Care Community,DPG Services Pty Ltd,,NSW,Orana Far West,MM3,Large rural towns,Small,For Profit,4.0,3.0,3.0,5.0,3.0,,,3.5
2023,12602,Ryde - Hunters Hill,Catholic Healthcare St Joseph Aged Care,Catholic Healthcare Limited,,NSW,Northern Sydney,MM1,Metropolitan,Small,Not for Profit,3.0,3.0,2.0,5.0,3.0,,,3.25
2023,11401,Shoalhaven,Shoalhaven Place Care Community,DPG Services Pty Ltd,,NSW,Illawarra,MM3,Large rural towns,Small,For Profit,4.0,4.0,3.0,5.0,3.0,,,3.75
2023,10704,Wollongong,IRT Woonona,Illawarra Retirement Trust,,NSW,Illawarra,MM1,Metropolitan,Large,Not for Profit,3.0,3.0,1.0,3.0,3.0,,,2.5
2023,10301,Bathurst,Bathurst Riverview Care Community,DPG Services Pty Ltd,,NSW,Central West,MM3,Large rural towns,Large,For Profit,3.0,3.0,2.0,5.0,3.0,,,3.25
2023,10901,Albury,Mercy Place Albury,Mercy Aged and Community Care Ltd,,NSW,Riverina/Murray,MM2,Regional centres,Medium,Not for Profit,3.0,3.0,3.0,3.0,3.0,,,3.0
2023,10202,Wyong,Norah Head Care Community,DPG Services Pty Ltd,,NSW,Central Coast,MM1,Metropolitan,Small,For Profit,4.0,4.0,3.0,5.0,3.0,,,3.75
2023,10201,Gosford,Adelene Nursing Home,Alino Living,,NSW,Central Coast,MM1,Metropolitan,Small,Not for Profit,3.0,4.0,2.0,4.0,3.0,,,3.25
2023,11903,Hurstville,Catholic Healthcare St Bedes Home,Catholic Healthcare Limited,,NSW,South East Sydney,MM1,Metropolitan,Small,Not for Profit,4.0,4.0,3.0,5.0,1.0,,,3.25
2023,11301,Griffith - Murrumbidgee (West),Narrandera Homestead Care Community,DPG Services Pty Ltd,,NSW,Riverina/Murray,MM5,Small rural towns,Small,For Profit,3.0,3.0,2.0,5.0,2.0,,,3.0
2023,12003,Strathfield - Burwood - Ashfield,Catholic Healthcare Lewisham Nursing Home,Catholic Healthcare Limited,,NSW,Inner West,MM1,Metropolitan,Small,Not for Profit,4.0,3.0,4.0,5.0,3.0,,,3.75
2023,11003,Moree - Narrabri,The Whiddon Group - Narrabri - Jessie Hunt,The Frank Whiddon Masonic Homes of New South Wales,,NSW,New England,MM4,Medium rural towns,Small,Not for Profit,4.0,5.0,4.0,5.0,2.0,,,4.0
2023,10802,Kempsey - Nambucca,Bupa Kempsey,Bupa Aged Care Australia Pty Ltd,,NSW,Mid North Coast,MM4,Medium rural towns,Medium,For Profit,3.0,3.0,2.0,5.0,2.0,,,3.0
2023,11201,Richmond Valley - Coastal,Florence Price Gardens,RSL LifeCare Limited,,NSW,Far North Coast,MM3,Large rural towns,Large,Not for Profit,4.0,4.0,2.0,4.0,4.0,,,3.5
2023,11002,Inverell - Tenterfield,McLean Care Ltd,McLean Care Ltd,,NSW,New England,MM4,Medium rural towns,Large,Not for Profit,4.0,3.0,4.0,5.0,3.0,,,3.75
2023,10704,Wollongong,Estia Health Figtree,Estia Investments Pty Ltd,,NSW,Illawarra,MM1,Metropolitan,Medium,For Profit,3.0,3.0,2.0,4.0,3.0,,,3.0
2023,10201,Gosford,Aurrum Wyoming,Aurrum Pty Limited,,NSW,Central Coast,MM1,Metropolitan,Small,For Profit,4.0,4.0,2.0,5.0,5.0,,,4.0
2023,10401,Clarence Valley,The Whiddon Group - Grafton,The Frank Whiddon Masonic Homes of New South Wales,,NSW,Far North Coast,MM3,Large rural towns,Medium,Not for Profit,3.0,3.0,2.0,5.0,3.0,,,3.25
2023,10401,Clarence Valley,Mareeba Aged Care,MacLean Valley Nursing Home Pty Limited,,NSW,Far North Coast,MM5,Small rural towns,Medium,For Profit,3.0,3.0,1.0,5.0,5.0,,,3.5
2023,11302,Tumut - Tumbarumba,Uniting Tumut,The Uniting Church in Australia Property Trust (NSW),,NSW,Riverina/Murray,MM4,Medium rural towns,Medium,Not for Profit,3.0,3.0,3.0,4.0,1.0,,,2.75
2023,10802,Kempsey - Nambucca,Vincent Court,Apollo Care Operations Pty Ltd,,NSW,Mid North Coast,MM4,Medium rural towns,Medium,For Profit,3.0,4.0,2.0,4.0,3.0,,,3.25
2023,11602,Blacktown - North,Quakers Hillside Care Community,DPG Services Pty Ltd,,NSW,Western Sydney,MM1,Metropolitan,Large,For Profit,4.0,5.0,2.0,5.0,4.0,,,4.0
2023,11503,Hawkesbury,Kurrajong & District Community Nursing Home,Kurrajong and District Hospital Society Inc,,NSW,Nepean,MM2,Regional centres,Small,Not for Profit,4.0,5.0,4.0,3.0,4.0,,,4.0
2023,10805,Taree - Gloucester,Karingal Gardens,Bushland Health Group Limited,,NSW,Mid North Coast,MM3,Large rural towns,Medium,Not for Profit,3.0,3.0,1.0,5.0,3.0,,,3.0
2023,11101,Lake Macquarie - East,Uniting Garden Suburb,The Uniting Church in Australia Property Trust (NSW),,NSW,Hunter,MM1,Metropolitan,Medium,Not for Profit,4.0,4.0,2.0,5.0,3.0,,,3.5
2023,10501,Bourke - Cobar - Coonamble,Lilliane Brady Village Nursing Home,Cobar Shire Council,,NSW,Orana Far West,MM6,Remote communities,Small,Government,4.0,4.0,2.0,4.0,5.0,,,3.75
2023,12403,Penrith,Uniting Edinglassie Emu Plains,The Uniting Church in Australia Property Trust (NSW),,NSW,Nepean,MM1,Metropolitan,Medium,Not for Profit,3.0,3.0,2.0,4.0,2.0,,,2.75
2023,12702,Fairfield,Bossley Parkside Care Community,DPG Services Pty Ltd,,NSW,South West Sydney,MM1,Metropolitan,Medium,For Profit,3.0,3.0,2.0,4.0,3.0,,,3.0
2023,11401,Shoalhaven,IRT Sarah Claydon,Illawarra Retirement Trust,,NSW,Illawarra,MM4,Medium rural towns,Medium,Not for Profit,3.0,3.0,2.0,3.0,5.0,,,3.25
2023,11201,Richmond Valley - Coastal,Patrick Bugden VC Gardens,RSL LifeCare Limited,,NSW,Far North Coast,MM4,Medium rural towns,Medium,Not for Profit,4.0,4.0,4.0,5.0,3.0,,,4.0
2023,11201,Richmond Valley - Coastal,St Andrew's Village Ballina,St Andrew's Village Ballina Limited,,NSW,Far North Coast,MM3,Large rural towns,Large,Not for Profit,3.0,2.0,3.0,3.0,3.0,,,2.75
2023,11703,Sydney Inner City,Catholic Healthcare Gertrude Abbott Aged Care,Catholic Healthcare Limited,,NSW,South East Sydney,MM1,Metropolitan,Medium,Not for Profit,4.0,3.0,3.0,5.0,4.0,,,3.75
2023,10602,Maitland,Maitland Grange Care Community,DPG Services Pty Ltd,,NSW,Hunter,MM1,Metropolitan,Medium,For Profit,3.0,3.0,2.0,5.0,3.0,,,3.25
2023,11703,Sydney Inner City,St Lukes Nursing Home,St Luke's Care,,NSW,South East Sydney,MM1,Metropolitan,Large,Not for Profit,5.0,4.0,5.0,5.0,5.0,,,4.75
2023,10903,Upper Murray exc. Albury,Murrayvale Aged Care,Domacwa Holdings Pty Ltd,,NSW,Riverina/Murray,MM3,Large rural towns,Small,For Profit,3.0,3.0,2.0,4.0,4.0,,,3.25
2023,10303,Lithgow - Mudgee,Mudgee Grove Care Community,DPG Services Pty Ltd,,NSW,Orana Far West,MM4,Medium rural towns,Small,For Profit,4.0,4.0,3.0,5.0,5.0,,,4.25
2023,11203,Tweed Valley,Murwillumbah Greens Care Community,DPG Services Pty Ltd,,NSW,Far North Coast,MM1,Metropolitan,Medium,For Profit,3.0,3.0,1.0,5.0,2.0,,,2.75
2023,11004,Tamworth - Gunnedah,Uniting McKay House Tamworth,The Uniting Church in Australia Property Trust (NSW),,NSW,New England,MM3,Large rural towns,Small,Not for Profit,4.0,4.0,2.0,5.0,3.0,,,3.5
2023,11201,Richmond Valley - Coastal,Crowley Retirement Village,The Trustees of the Roman Catholic Church for the Diocese of Lismore,,NSW,Far North Coast,MM3,Large rural towns,Medium,Not for Profit,3.0,3.0,1.0,5.0,3.0,,,3.0
2023,11203,Tweed Valley,Uniting Kingscliff,The Uniting Church in Australia Property Trust (NSW),,NSW,Far North Coast,MM1,Metropolitan,Medium,Not for Profit,3.0,4.0,2.0,4.0,3.0,,,3.25
2023,10804,Port Macquarie,Garden Village,Garden Village Port Macquarie,,NSW,Mid North Coast,MM3,Large rural towns,Large,Not for Profit,4.0,3.0,2.0,5.0,4.0,,,3.5
2023,10104,South Coast,IRT Dalmeny,Illawarra Retirement Trust,,NSW,Southern Highlands,MM5,Small rural towns,Small,Not for Profit,3.0,2.0,2.0,4.0,3.0,,,2.75
2023,11202,Richmond Valley - Hinterland,The Whiddon Group - Casino,The Frank Whiddon Masonic Homes of New South Wales,,NSW,Far North Coast,MM4,Medium rural towns,Medium,Not for Profit,4.0,4.0,3.0,5.0,4.0,,,4.0
2023,10804,Port Macquarie,Bethany Aged Care Plus Centre,The Salvation Army (NSW) Property Trust,,NSW,Mid North Coast,MM3,Large rural towns,Small,Not for Profit,4.0,4.0,2.0,5.0,5.0,,,4.0
2023,11004,Tamworth - Gunnedah,Eloura,Quirindi Care Services Limited,,NSW,New England,MM5,Small rural towns,Small,Not for Profit,4.0,5.0,5.0,4.0,1.0,,,3.75
2023,10602,Maitland,Green Hills Residential Care Service,The Churches of Christ Property Trust,,NSW,Hunter,MM1,Metropolitan,Small,Not for Profit,4.0,3.0,3.0,5.0,5.0,,,4.0
2023,10801,Great Lakes,Estia Health Tuncurry,Estia Investments Pty Ltd,,NSW,Mid North Coast,MM3,Large rural towns,Large,For Profit,4.0,4.0,2.0,5.0,5.0,,,4.0
