Service Name,Provider Name,State/Territory,Aged Care Planning Region,MMM Code,MMM Region,Size,Purpose,SA3_CODE_2021,SA3_NAME_2021,Overall Star Rating,Residents' Experience rating,Staffing rating,Compliance rating,Quality Measures rating,snapshot_year,Service Suburb,[S] Registered Nurse Care Minutes - Actual,[S] Total Care Minutes - Actual,quality_score
Bowral House Nursing Home,Thompson Health Care Pty Ltd,NSW,South West Sydney,MM3,Large rural towns,Medium,For profit,11402,Southern Highlands,4.0,3.0,3.0,4.0,5.0,2023,,,,3.75
Whiddon Moree Nursing Home,The Frank Whiddon Masonic Homes of New South Wales,NSW,New England,MM4,Medium rural towns,Small,Not for profit,11003,Moree - Narrabri,3.0,4.0,2.0,3.0,3.0,2023,,,,3.0
William Beech Gardens - Bushmaster,RSL LifeCare Limited,NSW,Central West,MM5,Small rural towns,Small,Not for profit,10302,Lachlan Valley,3.0,3.0,3.0,3.0,3.0,2023,,,,3.0
Uniting Wesley Heights Manly,The Uniting Church in Australia Property Trust (NSW),NSW,Northern Sydney,MM1,Metropolitan,Medium,Not for profit,12201,Manly,4.0,4.0,2.0,5.0,5.0,2023,,,,4.0
Scalabrini Village Nursing Home (Austral),Scalabrini Village Ltd,NSW,South West Sydney,MM1,Metropolitan,Large,Not for profit,12701,Bringelly - Green Valley,3.0,3.0,3.0,3.0,5.0,2023,,,,3.5
Hillgrove House,Sapphire Coast Community Aged Care Ltd,NSW,Southern Highlands,MM5,Small rural towns,Medium,Not for profit,10104,South Coast,4.0,3.0,3.0,5.0,4.0,2023,,,,3.75
Harbison Burradoo,Harbison Memorial Retirement Village,NSW,South West Sydney,MM3,Large rural towns,Medium,Not for profit,11402,Southern Highlands,3.0,3.0,3.0,5.0,2.0,2023,,,,3.25
Dubbo Homestead Care Community,DPG Services Pty Ltd,NSW,Orana Far West,MM3,Large rural towns,Small,For profit,10503,Dubbo,4.0,3.0,3.0,5.0,3.0,2023,,,,3.5
Catholic Healthcare St Joseph Aged Care,Catholic Healthcare Limited,NSW,Northern Sydney,MM1,Metropolitan,Small,Not for profit,12602,Ryde - Hunters Hill,3.0,3.0,2.0,5.0,3.0,2023,,,,3.25
Shoalhaven Place Care Community,DPG Services Pty Ltd,NSW,Illawarra,MM3,Large rural towns,Small,For profit,11401,Shoalhaven,4.0,4.0,3.0,5.0,3.0,2023,,,,3.75
IRT Woonona,Illawarra Retirement Trust,NSW,Illawarra,MM1,Metropolitan,Large,Not for profit,10704,Wollongong,3.0,3.0,1.0,3.0,3.0,2023,,,,2.5
Bathurst Riverview Care Community,DPG Services Pty Ltd,NSW,Central West,MM3,Large rural towns,Large,For profit,10301,Bathurst,3.0,3.0,2.0,5.0,3.0,2023,,,,3.25
Mercy Place Albury,Mercy Aged and Community Care Ltd,NSW,Riverina/Murray,MM2,Regional centres,Medium,Not for profit,10901,Albury,3.0,3.0,3.0,3.0,3.0,2023,,,,3.0
Norah Head Care Community,DPG Services Pty Ltd,NSW,Central Coast,MM1,Metropolitan,Small,For profit,10202,Wyong,4.0,4.0,3.0,5.0,3.0,2023,,,,3.75
Adelene Nursing Home,Alino Living,NSW,Central Coast,MM1,Metropolitan,Small,Not for profit,10201,Gosford,3.0,4.0,2.0,4.0,3.0,2023,,,,3.25
Catholic Healthcare St Bedes Home,Catholic Healthcare Limited,NSW,South East Sydney,MM1,Metropolitan,Small,Not for profit,11903,Hurstville,4.0,4.0,3.0,5.0,1.0,2023,,,,3.25
Narrandera Homestead Care Community,DPG Services Pty Ltd,NSW,Riverina/Murray,MM5,Small rural towns,Small,For profit,11301,Griffith - Murrumbidgee (West),3.0,3.0,2.0,5.0,2.0,2023,,,,3.0
Catholic Healthcare Lewisham Nursing Home,Catholic Healthcare Limited,NSW,Inner West,MM1,Metropolitan,Small,Not for profit,12003,Strathfield - Burwood - Ashfield,4.0,3.0,4.0,5.0,3.0,2023,,,,3.75
The Whiddon Group - Narrabri - Jessie Hunt,The Frank Whiddon Masonic Homes of New South Wales,NSW,New England,MM4,Medium rural towns,Small,Not for profit,11003,Moree - Narrabri,4.0,5.0,4.0,5.0,2.0,2023,,,,4.0
Bupa Kempsey,Bupa Aged Care Australia Pty Ltd,NSW,Mid North Coast,MM4,Medium rural towns,Medium,For profit,10802,Kempsey - Nambucca,3.0,3.0,2.0,5.0,2.0,2023,,,,3.0
Florence Price Gardens,RSL LifeCare Limited,NSW,Far North Coast,MM3,Large rural towns,Large,Not for profit,11201,Richmond Valley - Coastal,4.0,4.0,2.0,4.0,4.0,2023,,,,3.5
McLean Care Ltd,McLean Care Ltd,NSW,New England,MM4,Medium rural towns,Large,Not for profit,11002,Inverell - Tenterfield,4.0,3.0,4.0,5.0,3.0,2023,,,,3.75
Estia Health Figtree,Estia Investments Pty Ltd,NSW,Illawarra,MM1,Metropolitan,Medium,For profit,10704,Wollongong,3.0,3.0,2.0,4.0,3.0,2023,,,,3.0
Aurrum Wyoming,Aurrum Pty Limited,NSW,Central Coast,MM1,Metropolitan,Small,For profit,10201,Gosford,4.0,4.0,2.0,5.0,5.0,2023,,,,4.0
The Whiddon Group - Grafton,The Frank Whiddon Masonic Homes of New South Wales,NSW,Far North Coast,MM3,Large rural towns,Medium,Not for profit,10401,Clarence Valley,3.0,3.0,2.0,5.0,3.0,2023,,,,3.25
Mareeba Aged Care,MacLean Valley Nursing Home Pty Limited,NSW,Far North Coast,MM5,Small rural towns,Medium,For profit,10401,Clarence Valley,3.0,3.0,1.0,5.0,5.0,2023,,,,3.5
Uniting Tumut,The Uniting Church in Australia Property Trust (NSW),NSW,Riverina/Murray,MM4,Medium rural towns,Medium,Not for profit,11302,Tumut - Tumbarumba,3.0,3.0,3.0,4.0,1.0,2023,,,,2.75
Vincent Court,Apollo Care Operations Pty Ltd,NSW,Mid North Coast,MM4,Medium rural towns,Medium,For profit,10802,Kempsey - Nambucca,3.0,4.0,2.0,4.0,3.0,2023,,,,3.25
Quakers Hillside Care Community,DPG Services Pty Ltd,NSW,Western Sydney,MM1,Metropolitan,Large,For profit,11602,Blacktown - North,4.0,5.0,2.0,5.0,4.0,2023,,,,4.0
Kurrajong & District Community Nursing Home,Kurrajong and District Hospital Society Inc,NSW,Nepean,MM2,Regional centres,Small,Not for profit,11503,Hawkesbury,4.0,5.0,4.0,3.0,4.0,2023,,,,4.0
Karingal Gardens,Bushland Health Group Limited,NSW,Mid North Coast,MM3,Large rural towns,Medium,Not for profit,10805,Taree - Gloucester,3.0,3.0,1.0,5.0,3.0,2023,,,,3.0
