"Age and sex distribution"
"Age group (years)","Capital cities (Males) (%)","Rest of Australia (Males) (%)","Capital cities (Females) (%)","Rest of Australia (Females) (%)"
"0-4","2.87","2.80","2.73","2.65"
"5-9","3.06","3.01","2.90","2.84"
"10-14","3.12","3.25","2.96","3.06"
"15-19","3.12","3.21","2.94","3.00"
"20-24","3.68","2.84","3.43","2.59"
"25-29","4.08","2.95","3.96","2.88"
"30-34","4.02","3.09","4.06","3.16"
"35-39","3.88","3.06","3.93","3.15"
"40-44","3.58","2.96","3.60","3.07"
"45-49","3.03","2.80","3.09","2.91"
"50-54","3.01","3.16","3.12","3.24"
"55-59","2.64","3.02","2.75","3.13"
"60-64","2.49","3.28","2.64","3.43"
"65-69","2.09","3.05","2.33","3.17"
"70-74","1.75","2.71","2.01","2.78"
"75-79","1.46","2.22","1.68","2.28"
"80-84","0.91","1.32","1.09","1.46"
"85+","0.78","1.02","1.20","1.45"

"Source: Australian Bureau of Statistics, Regional population by age and sex 2024"
